k,condition,layer,n,safety_projection_mean,safety_projection_std,harmfulness_probe_score_mean,harmfulness_probe_score_std,kl_to_refusal_mean,kl_to_refusal_std,refusal_logmass_mean,refusal_logmass_std,compliance_logmass_mean,compliance_logmass_std,refusal_margin_mean,refusal_margin_std
5,adaptive,0,8,0.14347560238093138,0.044583578636523596,9.467045936007758e-05,0.00024762015715159934,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,1,8,0.2912045493721962,0.10844711908721795,0.3775183738368355,0.4768688791972218,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,2,8,0.46436764672398567,0.14046656175722613,4.632480756859211e-13,1.1131888341590286e-12,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,3,8,0.605230201035738,0.1545227656186671,0.2499920022848595,0.4329949859488709,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,4,8,0.6467839255928993,0.17883898754152855,0.11931186148533107,0.30826580829689115,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,5,8,0.7245563305914402,0.2241944160682844,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,6,8,0.6740295365452766,0.234935589787115,5.194503434449196e-32,9.872420055646041e-32,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,7,8,0.6839305460453033,0.30200281910674553,8.190559429916944e-34,2.1237382547003896e-33,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,8,8,0.6676155254244804,0.328099540019549,9.315115493228559e-37,2.4519044892979664e-36,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,9,8,0.7166790999472141,0.29247900872280547,3.2420055871117117e-25,8.575179300154425e-25,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,10,8,0.812178697437048,0.3202993240234474,1.8517980360011014e-33,3.215734475866136e-33,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,11,8,0.8901949375867844,0.25263348391054585,8.039546925625298e-38,2.127064181883843e-37,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,12,8,0.9185407236218452,0.28201027327219985,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,13,8,0.9010279439389706,0.3025464922764758,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,14,8,1.1035960912704468,0.2774985398547584,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,15,8,1.3421749770641327,0.473797485388174,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,16,8,1.5632847175002098,0.8139452273189424,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,17,8,2.0559801161289215,1.0171446508450546,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,18,8,1.928912676870823,1.273615024233893,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,19,8,2.2002225145697594,1.4816054277899093,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,20,8,2.549584161490202,1.7261181165119646,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,21,8,2.865990161895752,2.002319612028781,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,22,8,3.2955410182476044,2.165930483455164,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,23,8,3.015651263296604,2.0087146818556354,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,24,8,3.4467853158712387,2.229116259014187,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,25,8,3.7113888263702393,2.045938815654954,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,26,8,3.6026740670204163,1.8783604673623804,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,27,8,3.9526931643486023,1.851971159361965,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,adaptive,28,8,6.007755763828754,4.1517631867434,0.0,0.0,18.35058844089508,4.834551422702737,-10.819453954696655,3.35671378252396,-10.554998397827148,2.9393065976439128,-0.26445555686950684,1.3635015928634202
5,clean,0,8,0.3131929039955139,0.0,8.267009252449498e-05,0.0,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,1,8,0.35660018026828766,0.003517677085125167,1.0,0.0,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,2,8,0.36295612901449203,0.015152967389396981,3.2661868832317045e-16,4.800730688379986e-16,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,3,8,0.5618149489164352,0.020522490383007543,0.985226534307003,0.032668949031999864,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,4,8,0.6585427448153496,0.027313924157663833,0.9183543734252453,0.2129960666040431,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,5,8,0.8974019810557365,0.06445722064582364,1.8427150118340566e-29,3.484608169755898e-29,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,6,8,1.2620724439620972,0.08297978163465776,1.248859278916064e-22,3.302767712836505e-22,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,7,8,1.5462781190872192,0.0688115525418874,4.6911995701801276e-23,1.2408928309065905e-22,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,8,8,1.9120209515094757,0.11698671133087608,1.2617700341966997e-28,3.3301166715136316e-28,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,9,8,2.7129921317100525,0.24661182701201728,0.12452624758977619,0.3293639582621966,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,10,8,3.0577516853809357,0.2589573173723111,6.858621590908345e-22,1.8145413780337843e-21,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,11,8,2.994768261909485,0.20941103622218674,0.0003343653877198789,0.0008797618430142485,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,12,8,2.8729392886161804,0.18328648504390693,6.797372342327561e-27,1.7983595957729767e-26,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,13,8,3.161179304122925,0.22010446584849594,2.970311062159614e-28,5.457458865105702e-28,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,14,8,3.221443295478821,0.2837269408431198,1.7924539934851052e-32,2.5838621408693894e-32,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,15,8,3.897407501935959,0.37145020049352795,2.653144583914822e-28,7.019508764754238e-28,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
5,clean,16,8,4.238035351037979,0.4076429698023306,5.210197492871931e-31,1.3106341984555818e-30,15.985177278518677,2.3415039646132523,-6.62574028968811,1.3131962961389234,-2.7278782725334167,1.2405061991466217,-3.897861987352371,0.5848519325474847
