k,metric,step0,step16,step16_minus_step0
5,kl_to_static,11.451980643477176,14.966995280533116,3.5150146370559394
5,safety_projection,-1.3285763192396225,2.671017909525362,3.999594228764985
5,refusal_margin,1.064602720956861,2.3737045168145303,1.3091017958576694
5,refusal_logmass,-8.94308422533281,-12.24160284791256,-3.298518622579749
5,compliance_logmass,-10.007686941170254,-14.61530736472709,-4.6076204235568365
10,kl_to_static,11.58706769987118,13.759814985050744,2.172747285179563
10,safety_projection,-1.635479025954118,-2.6219468348962396,-0.9864678089421215
10,refusal_margin,1.2004732504212785,1.5751877167473542,0.37471446632607575
10,refusal_logmass,-9.861663829695228,-12.48581846835423,-2.624154638659002
10,compliance_logmass,-11.062137080847853,-14.061006190175291,-2.9988691093274387
15,kl_to_static,12.524816553971151,13.900697506964208,1.3758809529930573
15,safety_projection,-0.97145405923662,-3.832740849878159,-2.861286790641539
15,refusal_margin,1.3475773319876267,1.2812490170718702,-0.06632831491575653
15,refusal_logmass,-10.975166357368048,-12.60566638583786,-1.6305000284698128
15,compliance_logmass,-12.32274369209822,-13.88691540144704,-1.5641717093488197
20,kl_to_static,13.82961266986066,14.49377645583012,0.6641637859694605
20,safety_projection,-1.6293120638358811,-1.3641290379448172,0.2651830258910639
20,refusal_margin,1.162990420873911,0.9666503543502714,-0.19634006652363967
20,refusal_logmass,-11.301377785717785,-13.037638798813148,-1.7362610130953637
20,compliance_logmass,-12.464368209517076,-14.00428915462611,-1.5399209451090332
