k,response_step,n,safety_projection_mean,kl_to_static_mean,refusal_margin_mean,refusal_logmass_mean,compliance_logmass_mean
5,0,163,-1.3285763192396225,11.451980643477176,1.064602720956861,-8.94308422533281,-10.007686941170254
5,1,163,-1.5922942231952046,10.889233927282453,1.2043735556807256,-9.64507012389189,-10.849443676732935
5,2,163,0.9042644670770212,11.835441606450663,1.7509818910821084,-10.405195611751884,-12.156177503199665
5,4,163,1.5222695590528244,12.993889367529276,1.6438306409157126,-11.35184935996869,-12.995680000884402
5,8,163,0.3492749860864475,13.581072905248009,1.73413660628664,-10.801448447572673,-12.535585052945132
5,16,163,2.671017909525362,14.966995280533116,2.3737045168145303,-12.24160284791256,-14.61530736472709
10,0,163,-1.635479025954118,11.58706769987118,1.2004732504212785,-9.861663829695228,-11.062137080847853
10,1,163,0.9333637673064976,12.237060192172512,1.213718664426745,-10.548974056916734,-11.76269272079497
10,2,163,1.984444932886428,12.933942061477552,1.4133190589448426,-10.897287613043757,-12.310606675645325
10,4,163,-0.7972171900828192,12.914617454370289,1.3458212738388156,-11.151739613410154,-12.497560886883296
10,8,163,-0.3345624875802935,13.32517200248156,1.5691817004256454,-11.4125665470135,-12.9817482467078
10,16,163,-2.6219468348962396,13.759814985050744,1.5751877167473542,-12.48581846835423,-14.061006190175291
15,0,163,-0.97145405923662,12.524816553971151,1.3475773319876267,-10.975166357368048,-12.32274369209822
15,1,163,-0.6071713299839043,12.837032954568512,1.0048567550313985,-11.58697245457421,-12.591829208737137
15,2,163,-0.8534124142553178,13.3069334677392,1.2361409649527146,-11.455097668010032,-12.69123863611096
15,4,163,-1.265930829969652,12.973816068260216,1.4465471886418348,-11.332791030772624,-12.77933821941446
15,8,163,-1.315446778857635,14.18278028676572,1.3132792162748934,-12.029909610748293,-13.343188824463477
15,16,163,-3.832740849878159,13.900697506964208,1.2812490170718702,-12.60566638583786,-13.88691540144704
20,0,163,-1.6293120638358811,13.82961266986066,1.162990420873911,-11.301377785717785,-12.464368209517076
20,1,163,-1.8795045391182224,12.8779961420166,1.3033649350967875,-11.34108873379011,-12.64445367327497
20,2,163,-1.3106250589244937,13.682743113933622,1.2937740146016783,-11.589698159255864,-12.88347217495456
20,4,163,-1.6108784494590174,13.257714291840244,0.8480337543721579,-12.06477023341173,-12.912804000582431
20,8,163,-3.0630390307654634,13.348039143427384,1.489766910763606,-12.222625100539506,-13.712392011668785
20,16,163,-1.3641290379448172,14.49377645583012,0.9666503543502714,-13.037638798813148,-14.00428915462611
