k,response_step,metric,adaptive,static,refusal,clean,adaptive_minus_static,adaptive_minus_refusal,adaptive_minus_clean
5,0,kl_to_static,11.451980643477176,0.0,13.160668893094444,10.734018016080917,11.451980643477176,-1.7086882496172677,0.7179626273962594
5,0,safety_projection,-1.3285763192396225,-2.102617837168688e-08,50.89448241368393,6.864371111605065,-1.3285762982134441,-52.223058732923555,-8.192947430844688
5,0,refusal_margin,1.064602720956861,1.5641564317276142,5.990936571835009,-3.698489019475831,-0.4995537107707533,-4.926333850878148,4.763091740432692
5,0,refusal_logmass,-8.94308422533281,-11.303196233840076,-11.519617033882374,-6.436566478635636,2.360112008507265,2.5765328085495636,-2.506517746697175
5,0,compliance_logmass,-10.007686941170254,-12.8673526681274,-17.510553605717384,-2.7380774664732574,2.8596657269571466,7.502866664547129,-7.269609474696997
5,1,kl_to_static,10.889233927282453,0.0,12.150232964863806,13.226580875051534,10.889233927282453,-1.2609990375813531,-2.337346947769081
5,1,safety_projection,-1.5922942231952046,3.4647485229866635e-08,51.52759922208961,14.827146845544044,-1.59229425784269,-53.119893445284816,-16.41944106873925
5,1,refusal_margin,1.2043735556807256,1.5290446456955986,4.6235171914832,5.2592136230936815,-0.32467109001487304,-3.419143635802474,-4.054840067412956
5,1,refusal_logmass,-9.64507012389189,-11.9715557829734,-11.4112155042543,-3.2975840702355823,2.326485659081511,1.7661453803624116,-6.347486053656307
5,1,compliance_logmass,-10.849443676732935,-13.500600427937654,-16.0347326957375,-8.556797698962908,2.6511567512047183,5.185289019004564,-2.292645977770027
5,2,kl_to_static,11.835441606450663,0.0,16.092611052507273,16.051279466770634,11.835441606450663,-4.25716944605661,-4.21583786031997
5,2,safety_projection,0.9042644670770212,8.958980349675278e-09,51.51240091967436,44.37564552214248,0.9042644581180409,-50.60813645259734,-43.47138105506546
5,2,refusal_margin,1.7509818910821084,1.2383703589439392,3.4676148935329696,3.9522735180298976,0.5126115321381692,-1.7166330024508611,-2.201291626947789
5,2,refusal_logmass,-10.405195611751884,-12.38175212569032,-12.920769252660085,-11.062524944726675,1.9765565139384353,2.515573640908201,0.6573293329747916
5,2,compliance_logmass,-12.156177503199665,-13.620122481708878,-16.388384146193054,-15.014798462756572,1.463944978509213,4.23220664299339,2.858620959556907
5,4,kl_to_static,12.993889367529276,0.0,14.812889410674206,14.862341405063914,12.993889367529276,-1.8190000431449302,-1.868452037534638
5,4,safety_projection,1.5222695590528244,3.2362031059031105e-08,44.509891033903955,17.64837075943596,1.5222695266907933,-42.98762147485113,-16.126101200383136
5,4,refusal_margin,1.6438306409157126,1.575536297874217,2.7944735486083236,3.7681679637885535,0.06829434304149573,-1.150642907692611,-2.124337322872841
5,4,refusal_logmass,-11.35184935996869,-12.425260129881783,-16.27486964968816,-14.536486900657232,1.0734107699130941,4.923020289719471,3.184637540688543
5,4,compliance_logmass,-12.995680000884402,-14.00079642720749,-19.069343198296483,-18.304654864994298,1.005116426323088,6.073663197412081,5.308974864109896
5,8,kl_to_static,13.581072905248009,0.0,15.748818594253867,17.013837812105592,13.581072905248009,-2.1677456890058586,-3.4327649068575834
