k,response_step,metric,n_success,n_fail,success_mean,fail_mean,success_minus_fail,success_median,fail_median,auc_success_high,auc_success_low
5,0,safety_projection,6,157,-2.8896255691846213,-1.2689183861207052,-1.6207071830639161,-3.019582509994507,-1.8362267017364504,0.37579617834394907,0.6242038216560509
5,0,kl_to_static,6,157,10.377767642339071,11.49303336963532,-1.115265727296249,9.690021514892578,11.287092208862305,0.410828025477707,0.589171974522293
5,0,refusal_margin,6,157,1.2050797939300537,1.0592341703973758,0.14584562353267794,1.4189434051513672,1.2707252502441406,0.49363057324840764,0.5063694267515924
5,0,refusal_logmass,6,157,-10.100510597229004,-8.898851370355885,-1.2016592268731188,-10.89751148223877,-9.06602382659912,0.35456475583864117,0.6454352441613588
5,0,compliance_logmass,6,157,-11.305590391159058,-9.958085535438197,-1.3475048557208602,-12.316454887390137,-10.070178031921388,0.37791932059447986,0.6220806794055201
5,1,safety_projection,6,157,-3.492055098215739,-1.519691896761299,-1.9723632014544399,-5.233600616455078,-2.526329040527344,0.4033970276008493,0.5966029723991507
5,1,kl_to_static,6,157,8.176470836003622,10.992906402108396,-2.816435566104774,6.6983256340026855,10.87460994720459,0.3322717622080679,0.667728237791932
5,1,refusal_margin,6,157,0.42087093989054364,1.2343163308064649,-0.8134453909159212,0.7042703628540039,1.3919544219970703,0.37579617834394907,0.6242038216560509
5,1,refusal_logmass,6,157,-10.718143145243326,-9.604060963840242,-1.1140821814030843,-11.407524108886719,-9.48449993133545,0.3641188959660297,0.6358811040339702
5,1,compliance_logmass,6,157,-11.139014085133871,-10.838377291698507,-0.3006367934353644,-10.942108631134033,-10.59964084625244,0.4564755838641189,0.5435244161358811
5,2,safety_projection,6,157,-1.5181237359841664,0.9968398124169392,-2.5149635484011057,-1.1942181587219238,-3.312021493911743,0.5902335456475584,0.40976645435244163
5,2,kl_to_static,6,157,14.214678525924683,11.744515354751021,2.4701631711736614,15.375658988952637,11.810415267944336,0.6316348195329087,0.36836518046709127
5,2,refusal_margin,6,157,0.5575732390085856,1.7965898650467016,-1.239016626038116,0.8869297504425049,1.8294286727905271,0.26008492569002123,0.7399150743099787
5,2,refusal_logmass,6,157,-12.214017868041992,-10.336068646543344,-1.877949221498648,-12.963809490203857,-10.306771278381348,0.2760084925690021,0.7239915074309978
5,2,compliance_logmass,6,157,-12.771591107050577,-12.132658511969694,-0.6389325950808828,-13.48853302001953,-12.357707023620604,0.410828025477707,0.589171974522293
5,4,safety_projection,6,157,-3.327540392676989,1.7076126145329444,-5.035153007209933,-1.9184950292110443,0.1098721027374267,0.2961783439490446,0.7038216560509554
5,4,kl_to_static,6,157,15.500307629505793,12.8981026823582,2.6022049471475928,19.59143352508545,12.852394104003906,0.6687898089171974,0.33121019108280253
5,4,refusal_margin,6,157,0.6228303909301758,1.6828497587495548,-1.060019367819379,0.4949340820312499,1.794109344482422,0.32590233545647557,0.6740976645435244
5,4,refusal_logmass,6,157,-12.587896029154459,-11.304611907643118,-1.2832841215113415,-12.891496658325195,-11.05988311767578,0.3980891719745223,0.6019108280254777
5,4,compliance_logmass,6,157,-13.210726420084635,-12.987461666392672,-0.22326475369196253,-13.65203332901001,-13.005326271057127,0.445859872611465,0.554140127388535
5,8,safety_projection,6,157,-2.2665232121944427,0.4492417962118319,-2.7157650084062745,-4.138646125793457,-0.388491153717041,0.3630573248407643,0.6369426751592356
5,8,kl_to_static,6,157,15.160717805226644,13.520704310344366,1.6400134948822789,14.235432147979736,13.806618690490724,0.5605095541401274,0.4394904458598726
