k,response_step,metric,n,mean_diff,median_diff,std_diff,se_diff,adaptive_gt_static,adaptive_lt_static,q25_diff,q75_diff
5,0,safety_projection,163,-1.328576298213444,-1.237119674682617,5.127812903981032,0.40164130426262373,61,102,-5.195892930030823,1.9514569640159607
5,0,kl_to_static,163,11.451980643477176,11.23193645477295,4.190174465145326,0.32819979370977764,163,0,8.689990043640137,14.09821605682373
5,0,refusal_margin,163,-0.4995537107707533,-0.6093664169311523,2.6902832997441735,0.21071925079527082,57,106,-1.9481327533721924,0.5508985519409181
5,0,refusal_logmass,163,2.3601120085072664,2.431314468383791,4.240531545729384,0.3321440646696126,122,41,-0.11682891845703303,4.356663465499877
5,0,compliance_logmass,163,2.8596657269571457,2.782215118408203,4.193604971025193,0.32846849166769276,128,35,0.32042789459228516,5.6095948219299325
5,1,safety_projection,163,-1.59229425784269,-1.9246232509613037,9.341764965999474,0.7317035030950483,64,99,-7.836710631847382,4.338980615139008
5,1,kl_to_static,163,10.889233927282453,10.729037284851074,4.608909285915573,0.36099763612399066,163,0,7.984029293060303,13.47441577911377
5,1,refusal_margin,163,-0.3246710900148731,-0.3511781692504885,3.0160503271340957,0.2362352936417378,72,91,-1.6255464553833008,1.0382823944091797
5,1,refusal_logmass,163,2.3264856590815115,2.4262866973876935,3.747084879772057,0.2934943389073333,126,37,0.420041561126709,4.801855087280274
5,1,compliance_logmass,163,2.6511567512047165,2.5736312866210938,3.963907083456451,0.31047716458985514,126,37,0.1761033535003662,5.411379337310792
5,2,safety_projection,163,0.9042644581180409,-1.227315902709961,16.24268424392607,1.272225216990984,72,91,-5.698592960834504,3.567019075155258
5,2,kl_to_static,163,11.835441606450665,12.290127754211426,5.0473419351521045,0.3953383315370325,163,0,8.58251953125,15.153460025787354
5,2,refusal_margin,163,0.5126115321381691,0.3965282440185547,2.5223346343562185,0.19756449607260618,95,68,-0.8713278770446777,1.673341989517212
5,2,refusal_logmass,163,1.9765565139384358,2.379574775695799,3.7049707009295263,0.29019570184022586,128,35,0.3746795654296893,3.863718032836914
5,2,compliance_logmass,163,1.4639449785092125,1.9125947952270508,4.047567856652256,0.3170299820758238,114,49,-1.1649723052978516,3.813701152801513
5,4,safety_projection,163,1.522269526690793,0.4608125686645508,8.251745825378558,0.6463266148372259,90,73,-2.924037605524063,4.977049887180328
5,4,kl_to_static,163,12.993889367529277,12.929071426391602,5.2915452203478095,0.41446580904212504,163,0,9.856829643249512,16.00020456314087
5,4,refusal_margin,163,0.06829434304149604,0.08709430694580067,2.9296181847822846,0.22946540577054753,83,80,-1.388763427734375,1.5489544868469238
5,4,refusal_logmass,163,1.0734107699130941,1.4378108978271502,4.329534799403038,0.33911533752189443,106,57,-0.9162082672119141,3.7426924705505353
5,4,compliance_logmass,163,1.0051164263230892,1.332906723022461,4.343053610784242,0.34017421255046887,108,55,-0.6277647018432617,3.3716025352478027
5,8,safety_projection,163,0.34927500619844426,-0.5479516983032227,8.428058355112363,0.6601364779750073,74,89,-3.802359104156494,3.8227099180221558
5,8,kl_to_static,163,13.581072905248009,13.806618690490724,5.735223246914019,0.4492173541159269,163,0,10.218137264251709,17.128803253173828
5,8,refusal_margin,163,0.4187997806291639,0.5489196777343751,2.5741279227810945,0.2016212595124086,93,70,-0.9503660202026366,2.2876381874084473
5,8,refusal_logmass,163,2.494002465090137,1.7236595153808612,4.6955318416619285,0.36778243832329044,123,40,0.0448627471923837,4.36658000946045
5,8,compliance_logmass,163,2.075202684598101,1.4697265625,5.161453683784891,0.40427625349533536,105,58,-0.9266762733459464,4.0286521911621085
5,16,safety_projection,163,2.6710179193985244,1.2403955459594727,10.078664493040744,0.7894219286096742,102,61,-2.148027181625366,6.538383483886719
5,16,kl_to_static,163,14.966995280533116,15.066287994384766,4.658589679811605,0.3648889048918492,163,0,12.305592060089111,18.13833713531494
5,16,refusal_margin,163,1.0871913140536817,0.9712285995483398,3.2647050979273873,0.2557114384080584,110,53,-0.798957347869873,2.748765468597412
5,16,refusal_logmass,163,1.7243059983282734,1.7202625274658203,3.8742373312836014,0.30345368754613367,113,50,-0.7364053726196289,4.092165946960449
5,16,compliance_logmass,163,0.6371146857372821,0.9219427108764648,4.1814791665828634,0.32751872536329624,97,66,-1.9854187965393084,3.478543758392335
10,0,safety_projection,163,-1.6354790427750605,-1.5211960077285767,6.209186247938268,0.48634100146191644,59,104,-5.07260674238205,1.7361798882484436
10,0,kl_to_static,163,11.58706769987118,11.916014671325684,4.46044082426475,0.3493686887158264,163,0,8.833539962768555,14.566844940185547
10,0,refusal_margin,163,0.42553547664654034,0.20393085479736323,2.6790886119015154,0.2098424151715593,90,73,-0.9271731376647949,1.506659984588623
10,0,refusal_logmass,163,2.154716926849693,2.1717967987060547,4.52050166846984,0.35407301710169986,122,41,0.06903362274169833,5.023040533065795
10,0,compliance_logmass,163,1.7291814478548484,2.052351951599123,4.829054780976323,0.37824076207640117,113,50,-0.4588479995727539,4.4162368774414045
10,1,safety_projection,163,0.9333637868699852,0.3610653877258301,6.757233650686403,0.52926738699104,85,78,-4.159063041210175,4.784207403659821
10,1,kl_to_static,163,12.237060192172512,12.103371620178224,4.942893999405353,0.3871573378217011,163,0,8.455086708068848,15.186861038208008
10,1,refusal_margin,163,0.3124990009822729,0.5267696380615234,3.5197480510037367,0.2756879442273423,96,67,-0.9467620849609378,1.7131428718566895
10,1,refusal_logmass,163,2.33925926100257,2.322597503662111,4.348633997195024,0.34061130214759044,112,51,-0.44496703147888184,5.03379988670349
10,1,compliance_logmass,163,2.0267602639969873,1.4930429458618164,4.750329604178313,0.37207453033598215,108,55,-0.8641171455383292,4.5471205711364755
10,2,safety_projection,163,1.984444945502135,0.7451167106628418,7.281505251997318,0.5703315080269095,96,67,-2.0982543230056763,4.822309136390686
10,2,kl_to_static,163,12.933942061477552,13.55542278289795,4.452439823950587,0.34874200200518385,163,0,9.575706005096436,16.15156364440918
10,2,refusal_margin,163,0.612992166741494,0.41484642028808594,3.216025809314108,0.2518985822576253,96,67,-1.0471272468566895,1.9858999252319336
10,2,refusal_logmass,163,1.4374451132639785,1.4793787002563477,4.709990394251596,0.3689149195640462,106,57,-1.0284252166748038,4.324610233306883
10,2,compliance_logmass,163,0.8244529395747039,1.0120849609375,4.974998381577188,0.38967194710435077,102,61,-2.1526269912719727,3.6547441482543945
10,4,safety_projection,163,-0.797217112194541,-1.2947287559509277,7.048422833942533,0.5520750840619222,64,99,-5.638812303543091,3.32852840423584
10,4,kl_to_static,163,12.914617454370289,13.105026245117188,4.639169833378428,0.3633678251262545,163,0,9.757102489471436,16.01802921295166
10,4,refusal_margin,163,0.5637452968059142,0.21920299530029297,3.2327516121535385,0.2532086482434675,92,71,-0.9816007614135742,1.9627842903137207
