k,response_step,layer,condition,n,delta_norm_from_baseline_mean,delta_norm_from_baseline_std,refusal_mean_direction_projection_mean,refusal_mean_direction_projection_std,refusal_subspace_projection_norm_mean,refusal_subspace_projection_norm_std,refusal_subspace_fraction_mean,refusal_subspace_fraction_std,refusal_subspace_residual_norm_mean,refusal_subspace_residual_norm_std,cosine_to_refusal_delta_mean,cosine_to_refusal_delta_std
5,0,28,clean,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,28,refusal,163,103.12257010805095,4.235713482252664,82.41487252639115,10.03186515439791,96.51346859610153,6.199768473791454,0.9361570696889258,0.05124364403877751,34.26978008293667,11.158017907691116,1.0000000146269068,7.702250465158466e-08
5,0,28,static,163,101.72867289350077,9.936903424988547,56.75828305343909,11.074806001099189,64.56902097924355,9.785195370971397,0.6362751499275489,0.09006305419192821,77.72482058753265,11.89154310199428,0.5225240268224588,0.0945263789025839
5,0,28,adaptive,163,99.99761759284084,10.63992256730308,57.15699421079612,10.910280348369406,64.67121754394718,9.999759862738449,0.6446689672630989,0.07920199884349909,75.6672313432752,10.239169883405573,0.534593238969522,0.08123464641095648
10,0,28,clean,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,28,refusal,163,103.9781594773743,5.988325008852426,78.03294833598693,14.668616923590758,91.70377562821277,10.697632274048297,0.8814316841722266,0.08385726950314615,45.5948635405558,15.633456835651314,1.0000000073134534,6.42752282976953e-08
10,0,28,static,163,103.03849167619015,9.26628305086393,58.05195252295652,10.907158652394886,67.2920335874967,9.858072619262172,0.6523743772799252,0.07778637382577047,77.34278116050673,9.771870286468143,0.5035507380962372,0.08461905042800963
10,0,28,adaptive,163,101.7003470110747,8.208375887644058,58.71114073209236,9.998533481542976,68.16297245610711,8.524215916390082,0.6703705888218675,0.06873910115787248,74.89707314894974,9.050605897679738,0.5192970529290065,0.07703069819145851
20,0,28,clean,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,28,refusal,163,107.44871113783012,6.2146022041415225,79.79757491503756,14.039239945088509,93.73544744479875,13.453449399533577,0.8699173060662907,0.09517431158038343,47.951988419140775,17.807946018145767,1.000000003291054,6.477465805038949e-08
20,0,28,static,163,105.7029139044826,9.17304320691234,59.85124525994611,10.144781153443775,68.9603924546505,9.530005702245036,0.652791657513636,0.07807776748133113,79.37252304451597,10.530738645136454,0.5058374030092743,0.07300834171266866
20,0,28,adaptive,163,103.13554057021814,8.415552074424454,61.02080568652943,9.765008408680247,69.72711886072452,9.58053849513884,0.6756779366841346,0.07486316725781787,75.28658594236784,9.275456266060251,0.5270137337087853,0.07222783851205358
40,0,28,clean,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,28,refusal,163,110.2858081887836,8.31314955453391,74.60685597753232,9.66622993183184,84.94084280985264,9.556755129754306,0.7694032391521828,0.06762792947339552,69.4390932328862,10.198180057101656,1.0000000135298888,6.411483940381564e-08
40,0,28,static,163,105.73674959054023,12.919266674756237,61.95705738535688,13.743005265104646,68.93638745407385,11.491780317666695,0.6498942578131436,0.06899941662997094,79.64711827003151,10.91868476312971,0.48483675526329345,0.08277355100615359
40,0,28,adaptive,163,104.6848309756788,8.503700356891084,64.96893676804619,9.873954798947683,71.32720011143597,9.353556646320493,0.6807078880035072,0.07000845941913397,75.99514868800625,8.994756643179516,0.5139614067560324,0.08240711411254734
