k,response_step,condition,layer,n,safety_projection_mean,safety_projection_std,kl_to_static_mean,kl_to_static_std,refusal_logmass_mean,refusal_logmass_std,compliance_logmass_mean,compliance_logmass_std,refusal_margin_mean,refusal_margin_std
40,0,adaptive,28,23,8.603611118119696,6.767129788644881,13.517725446949834,3.678928789760837,-10.571733371071193,2.4125652727931612,-11.009227939274,2.595009096846962,0.43749458893485693,3.2558717851317525
40,0,clean,28,23,-3.0422437372414963,2.1874643157760154,10.615320019100023,3.352428626020449,-6.512033545452615,0.7737265694127589,-2.5360890989718228,1.7653815860944846,-3.975944477578868,1.414869890113501
40,0,refusal,28,23,39.42197219185207,6.868339371971652,13.847312326016633,4.277999632792729,-15.374093885007111,3.274382162973882,-17.462272353794265,2.763932579629482,2.088178468787152,2.2179723623345082
40,0,static,28,23,0.0,15.492506562366504,0.0,0.0,-11.465123321699059,3.781293232772236,-12.287507052654805,4.116968953467898,0.8223837354908818,2.5688820115056195
40,1,adaptive,28,23,4.9361067466113875,4.97532601428388,14.900250880614571,4.281141096777096,-9.601677355558977,2.45876497241082,-10.42587303078693,2.5520369201564064,0.824195675227953,2.065205660727468
40,1,clean,28,23,4.564037043115367,4.996023787246355,13.51257842520009,2.8612288583133005,-2.132242852821946,3.8740407262276735,-7.485244688780411,3.585059444179493,5.353001822596011,0.8524104507253113
40,1,refusal,28,23,34.68719241930091,7.698495603864025,15.100856345632803,4.743624298340538,-17.595320452814516,3.326109466813823,-18.939326078995414,2.874258408151801,1.3440056261808977,1.2112788661076814
40,1,static,28,23,-2.591506294582201e-08,9.484579338716962,0.0,0.0,-13.02294870044874,2.8971083632059185,-13.696893965380024,4.029496385966882,0.6739452818165654,4.3418901634848694
40,2,adaptive,28,23,-5.194143056869507,6.031165468519245,12.75982838091643,4.476413101290584,-9.910412684730861,2.3069576712672673,-10.98224917702053,1.9249106807211507,1.0718364922896675,2.1401524714357687
40,2,clean,28,23,10.225225718125053,5.550723740856666,16.31360394021739,3.203285626953647,-10.601345559825068,1.0103522427191776,-14.9926467563795,1.298318793348313,4.391301196554433,1.0047298409474914
40,2,refusal,28,23,33.64484086244003,10.662941679900435,16.063741787620213,4.868878461444293,-15.157029400701107,2.693727939446219,-16.679324523262355,3.0326167230816226,1.5222951225612475,1.9299790786258404
40,2,static,28,23,5.960464477539063e-08,10.359558166756656,0.0,0.0,-13.4127604443094,3.0273882801470577,-14.654010192207668,2.587649079012768,1.2412497478982676,4.286795987361804
40,4,adaptive,28,23,-0.6031048582947772,5.388898479124695,16.108242905658223,4.689846448875705,-10.023974278698796,2.5016691166442913,-11.22928756216298,2.4631544808498718,1.2053132834641829,1.9098211983409614
40,4,clean,28,23,3.6900766465974892,3.9738389358507087,15.771705440852953,5.035286898057396,-13.946704190710317,3.0517693406683595,-18.310146226831105,4.140242966620003,4.36344201668449,2.4890285636123095
40,4,refusal,28,23,30.517543129298996,7.42804193937047,18.230904185253642,5.357080020169877,-16.5688010091367,3.5363844915560767,-17.99076863993769,2.7309349028631,1.4219676308009936,1.6120078394263118
40,4,static,28,23,-5.7013138480808426e-08,7.624781082274105,0.0,0.0,-13.42905790909477,4.483582196020946,-14.76358873947807,4.047337240363401,1.334530851115351,2.5061753115099847
40,8,adaptive,28,23,-3.2549973389376765,6.175834454687234,13.891956909843113,4.44209252117676,-9.916625053986259,2.936378020313298,-10.149127441903818,2.540143294075937,0.2325023879175601,1.6857946558632761
40,8,clean,28,23,14.554509536079738,5.593722099631426,17.96661016215449,2.6084209541333565,-13.550698570583178,1.8622155135044558,-16.947182987047277,1.5891759997195303,3.3964844164641006,0.886505452045548
40,8,refusal,28,23,33.195324234340504,9.645814156850467,15.699757368668266,4.8558991277774854,-15.142238492551057,3.607025121684883,-17.172518854555875,2.9681732863680996,2.0302803620048193,1.9143434546681104
40,8,static,28,23,5.183012589164402e-09,6.948566492157427,0.0,0.0,-14.283836447674295,2.116811098578806,-15.208520847818125,2.1128488606888576,0.9246844001438307,1.945449996248931
40,16,adaptive,28,23,-2.277354157489279,5.707719554067761,12.671876873011174,6.049938116611119,-9.876957126285719,1.6587028667865265,-11.105034423911054,2.6862797116685524,1.228077287259309,2.2411941042955017
40,16,clean,28,23,18.779868338419043,11.133538314309499,16.083803301272184,4.572833903970365,-16.918938346531082,1.6407958943702825,-19.344834327697754,1.6814581038671608,2.425895981166674,0.8747416526995401
40,16,refusal,28,23,29.46086999644404,7.400469696186073,16.478551387786865,5.237006770472176,-16.633680053379226,3.6542523330955206,-17.72035374848739,2.9748806921337816,1.0866736951081648,1.4087663022826369
40,16,static,28,23,-1.6844790914784306e-08,10.890514999456261,0.0,0.0,-14.499463931373928,3.1814064447750146,-15.38622055882993,3.5154890859416192,0.8867566274560016,1.443759992994024
