k,condition,delta_norm_from_static_mean,refusal_mean_direction_projection_mean,refusal_subspace_projection_norm_mean,refusal_subspace_fraction_mean,refusal_subspace_residual_norm_mean,cosine_to_refusal_delta_mean
5,clean,109.36255290025582,6.865498544979681,44.09120448527892,0.4032352030094416,99.80883676727856,0.5131627452885447
5,refusal,110.87936345199866,50.894900517961,80.82179798524072,0.7294407430236325,74.53120326410773,1.000000009873162
5,adaptive,96.99616096356164,-1.328213470113789,34.78825955595707,0.3530277738724749,89.72815685623263,0.4495386942946838
10,clean,110.85731375290572,5.67932349827392,43.76517210416267,0.3949495042942784,101.4959122827448,0.4990425724193362
10,refusal,112.8744186682204,45.66509391266875,73.3837640446388,0.6452214336651234,82.59944468773216,1.0000000113358527
10,adaptive,95.16700487195348,-1.636806098869973,32.41892036484794,0.3348145149419644,88.43443321742895,0.433254890006744
20,clean,112.62028442570038,5.148264574492636,44.86272157774381,0.3978724189879704,102.95319525595824,0.4848802777155777
20,refusal,116.46610138313902,45.27452354343391,73.97285552697679,0.6270878370737005,85.83036446132543,1.000000017552288
20,adaptive,102.5127216643351,-1.6299025946599577,33.64926956621416,0.3230655266234845,95.5861914231002,0.4467965523523787
40,clean,111.59819358404428,-0.5580885991728379,44.79276165055351,0.3967191021135248,101.70275771252216,0.4719303583074932
40,refusal,115.36996277417144,32.07052960278798,59.21175770671821,0.5124119690225168,97.66161702161918,1.000000014261234
40,adaptive,105.2944347873056,0.239581824994526,37.17235479179335,0.3502004160745743,97.5883772914395,0.4694918912886842
