feature,coefficient,hex_phi_mean,aegis_mean,pooled_std,aegis_minus_hex,standardized_delta,abs_coefficient
prefix_line_count,-4.565191110267133,15.17878787878788,1.1757575757575758,13.41834221181956,-14.003030303030304,-1.0435737948832249,4.565191110267133
combined_token_len,2.5401522176870555,161.5121212121212,136.1787878787879,91.77910104391823,-25.333333333333314,-0.2760250759179999,2.5401522176870555
prefix_token_len,2.455979701453381,134.46363636363637,121.73939393939393,89.04604017266342,-12.724242424242433,-0.14289509561087363,2.455979701453381
prompt_char_len,-2.135150048239555,164.83939393939394,72.2060606060606,79.05560623643632,-92.63333333333334,-1.1717490731307443,2.135150048239555
combined_char_len,-2.0711424497248796,1103.9848484848485,704.8303030303031,651.7432071946942,-399.1545454545454,-0.6124414355964383,2.0711424497248796
prefix_char_len,-1.8907113581798112,938.1454545454545,631.6242424242424,624.6630064191519,-306.5212121212121,-0.49069851899559247,1.8907113581798112
prompt_token_len,1.1686383203514412,27.048484848484847,14.43939393939394,12.354224265750082,-12.609090909090908,-1.0206299187920198,1.1686383203514412
instructional_count,-0.6649723828720738,2.096969696969697,0.3424242424242424,2.5746856058126197,-1.7545454545454549,-0.6814600783040797,0.6649723828720738
prompt_prefix_token_ratio,-0.5817646275245674,0.4540929302110843,0.1612241481765235,0.5499191495293515,-0.2928687820345608,-0.5325669824104373,0.5817646275245674
char_entropy,-0.35859182649126325,4.480070962761502,4.304885677652047,0.15972339935411928,-0.17518528510945508,-1.0968041365126195,0.35859182649126325
first_person_count,0.3071156175739546,1.6939393939393939,3.8575757575757574,3.9997750166296515,2.1636363636363636,0.5409395165079856,0.3071156175739546
criminal_count,0.2953736608447553,0.35454545454545455,0.42727272727272725,1.0696540466965594,0.0727272727272727,0.06799139679962717,0.2953736608447553
prompt_question_marks,0.28078163446228566,0.2878787878787879,0.7363636363636363,0.5349922546919245,0.44848484848484843,0.8383015726893255,0.28078163446228566
refusal_count,0.18745042753570149,0.10909090909090909,0.09696969696969697,0.3588574871051506,-0.012121212121212116,-0.03377723067447223,0.18745042753570149
url_like_count,0.01822651804923813,0.3393939393939394,0.01818181818181818,0.9792568535923667,-0.3212121212121212,-0.3280162094692181,0.01822651804923813
prefix_numbered_markers,0.0,0.0,0.0,1.0,0.0,0.0,0.0
