prefix_set,token_mean,token_min,token_max,char_mean,char_min,char_max
gen1,30.347826086956523,26,41,160.6086956521739,68,276
gen2,52.34782608695652,48,63,281.69565217391306,126,421
gen3,73.3913043478261,69,80,402.4347826086956,185,520
static,,,,939.695652173913,25,3958
