k,response_step,condition,layer,n,safety_projection_mean,safety_projection_std,harmfulness_probe_score_mean,harmfulness_probe_score_std,kl_to_refusal_mean,kl_to_refusal_std,delta_norm_from_baseline_mean,delta_norm_from_baseline_std,refusal_mean_direction_projection_mean,refusal_mean_direction_projection_std,refusal_subspace_projection_norm_mean,refusal_subspace_projection_norm_std,refusal_subspace_fraction_mean,refusal_subspace_fraction_std,refusal_subspace_residual_norm_mean,refusal_subspace_residual_norm_std,cosine_to_refusal_delta_mean,cosine_to_refusal_delta_std,cosine_to_refusal_mean_direction_mean,cosine_to_refusal_mean_direction_std,refusal_subspace_rank_used_mean,refusal_subspace_rank_used_std,refusal_subspace_explained_variance_mean,refusal_subspace_explained_variance_std,refusal_logmass_mean,refusal_logmass_std,compliance_logmass_mean,compliance_logmass_std,refusal_margin_mean,refusal_margin_std
10,0,adaptive,28,163,62.004014325288175,8.259714373634175,0.07943094149101827,0.2698424429311734,16.991130354945646,3.715068068509547,109.85741976872544,7.1119985607960094,62.004014325288175,8.259714373634175,73.86156442684337,8.274015408531747,0.6714564962048694,0.05492460275943913,80.93074677777848,6.742210112452159,0.4925156255464514,0.05935268799260127,0.5631474316017351,0.05809809139461721,8.0,0.0,0.8019104294447185,1.1102230246251565e-16,-9.861701031038367,3.49667714910771,-11.061856116253905,3.579493240784926,1.2001550852155394,1.8430920113301283
10,0,clean,28,163,0.0,0.0,0.729437940915026,0.43250101548581626,13.621244465646567,2.5568072165323894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.8019104294447185,1.1102230246251565e-16,-6.436367201658846,0.8243356099021304,-2.7378702543995863,1.4798115516316568,-3.6984969472592595,1.256229628467408
10,0,refusal,28,163,83.8296298161606,16.83838714201837,0.2386963154684237,0.42531897477618336,0.0,0.0,111.76588538234219,4.71566777322619,83.8296298161606,16.83838714201837,99.47522991124518,11.81804330319224,0.8892247540330797,0.09102545462245601,46.02866035322778,18.979609335344037,1.0000000172286505,5.9075128456886083e-08,0.7478876892662059,0.13661389543437413,8.0,0.0,0.8019104294447185,1.1102230246251565e-16,-15.070534135666362,2.705056433593804,-17.96259283873201,2.0886592402186586,2.8920587030656497,2.6232139822402423
10,0,static,28,163,62.0479061618173,8.621847006808952,0.03156883975513288,0.17030350354896387,17.97054510467623,3.840037000584624,110.85731375290572,7.889893729143193,62.0479061618173,8.621847006808952,72.97952097834612,8.939033146515307,0.6571874561002141,0.06007923378807887,83.00495543070826,7.473621189900358,0.48568922185584557,0.06189881761165069,0.5579416419157625,0.058075131536346,8.0,0.0,0.8019104294447185,1.1102230246251565e-16,-12.017033403270815,3.7859157988063363,-12.792073595223297,4.155445711554338,0.7750401950321315,2.4162155949248305
