k,response_step,condition,layer,n,safety_projection_mean,safety_projection_std,harmfulness_probe_score_mean,harmfulness_probe_score_std,kl_to_refusal_mean,kl_to_refusal_std,delta_norm_from_baseline_mean,delta_norm_from_baseline_std,refusal_mean_direction_projection_mean,refusal_mean_direction_projection_std,refusal_subspace_projection_norm_mean,refusal_subspace_projection_norm_std,refusal_subspace_fraction_mean,refusal_subspace_fraction_std,refusal_subspace_residual_norm_mean,refusal_subspace_residual_norm_std,cosine_to_refusal_delta_mean,cosine_to_refusal_delta_std,cosine_to_refusal_mean_direction_mean,cosine_to_refusal_mean_direction_std,refusal_subspace_rank_used_mean,refusal_subspace_rank_used_std,refusal_subspace_explained_variance_mean,refusal_subspace_explained_variance_std,refusal_logmass_mean,refusal_logmass_std,compliance_logmass_mean,compliance_logmass_std,refusal_margin_mean,refusal_margin_std
5,0,adaptive,28,163,59.14303973262295,10.19891835155917,0.04364700851846304,0.20263872136344588,16.04104437199107,4.46012106489664,107.93086099917171,10.087314262081698,59.14303973262295,10.19891835155917,67.38042487202317,9.802838284269674,0.621000796771778,0.06169311633573629,83.99167394756101,7.746359026615077,0.4914558007047421,0.061400030086343864,0.5439189490691599,0.07500267859911743,8.0,0.0,0.899474317965007,3.3306690738754696e-16,-8.943410260545695,2.9696982907674006,-10.008350784793222,3.242677941180822,1.0649405205907998,2.0516589458910075
5,0,clean,28,163,0.0,0.0,0.729437940915026,0.43250101548581626,13.992004072739302,2.298774113484152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.899474317965007,3.3306690738754696e-16,-6.436367201658846,0.8243356099021304,-2.7378702543995863,1.4798115516316568,-3.6984969472592595,1.256229628467408
5,0,refusal,28,163,85.30524098214927,9.585780040073844,0.6129820447670553,0.48657615999436854,0.0,0.0,108.22544523835913,5.519778700004578,85.30524098214927,9.585780040073844,102.53096760183622,7.079631758976628,0.9477905398805467,0.05093653719611181,32.27851575527864,11.772504889054936,1.0000000205036887,5.815331830731834e-08,0.7913753559057335,0.10521934115547947,8.0,0.0,0.899474317965007,3.3306690738754696e-16,-11.51955240635784,1.3841975541478098,-17.510575288643867,1.4414656416628646,5.991022882286025,2.2801185276341034
5,0,static,28,163,59.0363703066586,8.867475193969799,0.05609682631605022,0.22693365101743934,17.13164339182567,4.84751744327435,109.36255290025582,8.782834709781724,59.0363703066586,8.867475193969799,67.64456672155441,7.3322893621479315,0.6191388986667917,0.05551943055625654,85.58878448472026,9.072830792625645,0.48208750287545116,0.061164615577737204,0.5400151389311777,0.0722785487098146,8.0,0.0,0.899474317965007,3.3306690738754696e-16,-11.302710495477806,3.654480062482811,-12.867288284140862,3.9624431546039607,1.56457779049142,2.4218401128575135
10,0,adaptive,28,163,62.004014325288175,8.259714373634175,0.07943094149101827,0.2698424429311734,16.991130354945646,3.715068068509547,109.85741976872544,7.1119985607960094,62.004014325288175,8.259714373634175,73.86156442684337,8.274015408531747,0.6714564962048694,0.05492460275943913,80.93074677777848,6.742210112452159,0.4925156255464514,0.05935268799260127,0.5631474316017351,0.05809809139461721,8.0,0.0,0.8019104294447185,1.1102230246251565e-16,-9.861701031038367,3.49667714910771,-11.061856116253905,3.579493240784926,1.2001550852155394,1.8430920113301283
10,0,clean,28,163,0.0,0.0,0.729437940915026,0.43250101548581626,13.621244465646567,2.5568072165323894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.8019104294447185,1.1102230246251565e-16,-6.436367201658846,0.8243356099021304,-2.7378702543995863,1.4798115516316568,-3.6984969472592595,1.256229628467408
10,0,refusal,28,163,83.8296298161606,16.83838714201837,0.2386963154684237,0.42531897477618336,0.0,0.0,111.76588538234219,4.71566777322619,83.8296298161606,16.83838714201837,99.47522991124518,11.81804330319224,0.8892247540330797,0.09102545462245601,46.02866035322778,18.979609335344037,1.0000000172286505,5.9075128456886083e-08,0.7478876892662059,0.13661389543437413,8.0,0.0,0.8019104294447185,1.1102230246251565e-16,-15.070534135666362,2.705056433593804,-17.96259283873201,2.0886592402186586,2.8920587030656497,2.6232139822402423
10,0,static,28,163,62.0479061618173,8.621847006808952,0.03156883975513288,0.17030350354896387,17.97054510467623,3.840037000584624,110.85731375290572,7.889893729143193,62.0479061618173,8.621847006808952,72.97952097834612,8.939033146515307,0.6571874561002141,0.06007923378807887,83.00495543070826,7.473621189900358,0.48568922185584557,0.06189881761165069,0.5579416419157625,0.058075131536346,8.0,0.0,0.8019104294447185,1.1102230246251565e-16,-12.017033403270815,3.7859157988063363,-12.792073595223297,4.155445711554338,0.7750401950321315,2.4162155949248305
20,0,adaptive,28,163,63.26583661038451,7.494193629052267,0.018475011007588884,0.13440195631062457,19.062319271403588,4.142221646630386,111.69254040864348,6.883578064389262,63.26583661038451,7.494193629052267,75.91721511940673,7.636274126555284,0.6793371852444252,0.05146103230484697,81.5553377312776,7.042576475983065,0.485816198971174,0.06278996362473824,0.5653204940153556,0.04711806746991795,8.0,0.0,0.7734057657322108,1.1102230246251565e-16,-11.301109887339587,3.3609972824347065,-12.463801929555787,3.6088685203048088,1.1626920495296549,2.690936433524389
20,0,clean,28,163,0.0,0.0,0.729437940915026,0.43250101548581626,15.26765738528199,2.5983894127716445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.7734057657322108,1.1102230246251565e-16,-6.436367201658846,0.8243356099021304,-2.7378702543995863,1.4798115516316568,-3.6984969472592595,1.256229628467408
