k,response_step,layer,metric,n_success,n_fail,success_mean,fail_mean,success_minus_fail,success_median,fail_median,auc_success_high,auc_success_low
5,0,28,delta_norm_from_static,6,157,98.8466402689616,96.92544200921515,1.921198259746447,98.9568099975586,96.9588851928711,0.5445859872611465,0.4554140127388535
5,0,28,refusal_mean_direction_projection,6,157,-2.6689892212549844,-1.276973632490559,-1.3920155887644254,-3.9154696464538574,-1.234975814819336,0.3853503184713376,0.6146496815286624
5,0,28,refusal_subspace_projection_norm,6,157,32.59708515803019,34.871998704922426,-2.274913546892236,28.09762668609619,33.617958068847656,0.4002123142250531,0.5997876857749469
5,0,28,refusal_subspace_fraction,6,157,0.3219303141037623,0.3542162118254194,-0.032285897721657075,0.264423705637455,0.3541207313537597,0.35562632696390656,0.6443736730360934
5,0,28,refusal_subspace_residual_norm,6,157,91.27885055541992,89.66889467664585,1.6099558787740733,90.38633728027344,90.1380615234375,0.5414012738853503,0.4585987261146497
5,0,28,cosine_to_refusal_delta,6,157,0.45212935904661816,0.4494396879984315,0.0026896710481866815,0.46681685745716095,0.4454907178878784,0.5254777070063694,0.4745222929936306
10,0,28,delta_norm_from_static,13,150,84.58826270470253,96.08382919311524,-11.495566488412706,88.65484619140625,96.27573013305664,0.32153846153846155,0.6784615384615384
10,0,28,refusal_mean_direction_projection,13,150,-4.308864804414602,-1.405227677722772,-2.90363712669183,-3.969882488250733,-1.3560340404510498,0.3528205128205128,0.6471794871794871
10,0,28,refusal_subspace_projection_norm,13,150,28.559039189265324,32.7534434000651,-4.194404210799778,26.68622589111328,30.13541603088379,0.4241025641025641,0.5758974358974359
10,0,28,refusal_subspace_fraction,13,150,0.3204102275463251,0.33606288651625316,-0.01565265896992807,0.3186437487602234,0.32447658479213715,0.47384615384615386,0.5261538461538462
10,0,28,refusal_subspace_residual_norm,13,150,78.88455082820012,89.2620896911621,-10.377538862961984,83.49226379394531,89.62380981445312,0.3046153846153846,0.6953846153846154
10,0,28,cosine_to_refusal_delta,13,150,0.38455950296842134,0.4374751568833987,-0.05291565391497738,0.372043251991272,0.43088614940643305,0.3251282051282051,0.6748717948717948
20,0,28,delta_norm_from_static,25,138,103.77467681884765,102.28410660011181,1.49057021873584,102.64636993408205,103.9130744934082,0.5075362318840579,0.492463768115942
20,0,28,refusal_mean_direction_projection,25,138,-2.891445505619049,-1.4013622122398322,-1.4900832933792167,-4.476041316986084,-1.668848991394043,0.4217391304347826,0.5782608695652174
20,0,28,refusal_subspace_projection_norm,25,138,30.63039379119873,34.19616735154304,-3.565773560344308,29.23855781555176,32.49075508117676,0.44318840579710145,0.5568115942028985
20,0,28,refusal_subspace_fraction,25,138,0.2920085296034813,0.3286917941995721,-0.03668326459609084,0.2865010797977447,0.31388919055461884,0.43072463768115943,0.5692753623188406
20,0,28,refusal_subspace_residual_norm,25,138,97.99611083984375,95.14961181861767,2.84649902122608,99.35460662841795,95.72810745239258,0.5672463768115942,0.4327536231884058
20,0,28,cosine_to_refusal_delta,25,138,0.43571065306663515,0.44880486744037573,-0.013094214373740587,0.4184120297431946,0.4483407288789749,0.45710144927536234,0.5428985507246377
40,0,28,delta_norm_from_static,42,121,104.42171986897786,105.59736062672512,-1.17564075774726,107.08296203613283,107.23729705810548,0.46989374262101535,0.5301062573789846
40,0,28,refusal_mean_direction_projection,42,121,2.2003415340469,-0.441012454180678,2.641353988227578,3.080095648765564,-0.582409143447876,0.5893349075167257,0.4106650924832743
40,0,28,refusal_subspace_projection_norm,42,121,38.44391788755144,36.7309857833484,1.7129321042030412,38.71027755737305,36.95399856567383,0.5454545454545454,0.45454545454545453
40,0,28,refusal_subspace_fraction,42,121,0.3653390407562256,0.3449456868462326,0.020393353909992973,0.3793066740036011,0.3594570457935333,0.5472255017709563,0.4527744982290437
40,0,28,refusal_subspace_residual_norm,42,121,95.8064820425851,98.20688638608318,-2.4004043434980815,96.29879760742188,98.80818176269533,0.4397874852420307,0.5602125147579693
40,0,28,cosine_to_refusal_delta,42,121,0.45269483735873584,0.475322273644534,-0.022627436285798164,0.4590122550725937,0.4747462272644043,0.4281778827233373,0.5718221172766628
