k,adaptive_fraction,refusal_fraction,clean_fraction,adaptive_projection_norm_over_refusal,adaptive_mean_projection_over_refusal,adaptive_cosine_to_refusal,clean_cosine_to_refusal
5,0.3530277738724749,0.7294407430236325,0.4032352030094416,0.43043164620403435,-0.026097181772563986,0.4495386942946838,0.5131627452885447
10,0.3348145149419644,0.6452214336651234,0.3949495042942784,0.4417723836723305,-0.03584370377076741,0.433254890006744,0.4990425724193362
20,0.3230655266234845,0.6270878370737005,0.3978724189879704,0.4548867192769485,-0.03600043616353727,0.4467965523523787,0.4848802777155777
40,0.3502004160745743,0.5124119690225168,0.3967191021135248,0.6277867138467965,0.007470466748191726,0.4694918912886842,0.4719303583074932
