k,response_step,layer,cum_energy_top1,cum_energy_top2,cum_energy_top4,cum_energy_top8,cum_energy_top16,cum_energy_top32,pc1_energy,pc2_energy
5,0,28,0.235285073518753,0.4070073664188384,0.46795368008315535,0.5390371978282925,0.6129547008313231,0.7029387471266075,0.235285073518753,0.1717222929000854
10,0,28,0.2643686532974243,0.316946730017662,0.3728582933545111,0.4534284733235834,0.5429753595963116,0.6505917971953739,0.2643686532974243,0.0525780767202377
20,0,28,0.2380146235227584,0.2929590679705142,0.3714689202606676,0.4450424890965218,0.5313738463446489,0.6437674504704756,0.2380146235227584,0.0549444444477558
40,0,28,0.0996756181120872,0.1412602625787257,0.1998168267309664,0.2788772452622649,0.3854719884693615,0.5252553652971967,0.0996756181120872,0.0415846444666385
