k,metric,adaptive,static,refusal,clean,adaptive_minus_static,adaptive_minus_refusal
5,safety_projection,-1.3282134110576536,2.687694104902583e-08,50.89490058524477,6.865498533826664,-1.3282134379345947,-52.22311399630242
5,refusal_logmass,-8.943410308814487,-11.302710433679124,-11.519552488268518,-6.436367157778125,2.359300124864637,2.576142179454031
5,compliance_logmass,-10.00835075846479,-12.867288215028728,-17.510575505122084,-2.7378703333848824,2.858937456563938,7.502224746657294
5,refusal_margin,1.0649404496503023,1.5645777813496031,5.991023016853567,-3.698496824393243,-0.4996373316993008,-4.926082567203265
10,safety_projection,-1.636806076838195,-2.0111996703352665e-08,45.66509418948296,5.679323461889489,-1.6368060567261982,-47.301900266321155
10,refusal_logmass,-9.861700918045512,-12.017033395591689,-15.07053448378674,-6.436367157778125,2.1553324775461764,5.208833565741228
10,compliance_logmass,-11.061856094313546,-12.792073574534223,-17.962592926493453,-2.7378703333848824,1.7302174802206771,6.900736832179907
10,refusal_margin,1.2001551762680334,0.7750401789425341,2.892058442706711,-3.698496824393243,0.4251149973254993,-1.6919032664386775
15,safety_projection,-0.9722896573002352,-1.4444070359680551e-08,44.32086505846012,2.075454280420315,-0.9722896428561648,-45.29315471576036
15,refusal_logmass,-10.97595722104874,-12.38081710909042,-16.07878465008882,-6.436367157778125,1.4048598880416812,5.102827429040081
15,compliance_logmass,-12.322790783607156,-13.228867068612502,-18.85500239155775,-2.7378703333848824,0.9060762850053461,6.532211607950595
15,refusal_margin,1.346833562558414,0.8480499595220835,2.776217741468933,-3.698496824393243,0.4987836030363305,-1.4293841789105188
20,safety_projection,-1.6299027716455283,-7.67912601400738e-08,45.27452347029938,5.148264472835635,-1.629902694854268,-46.904426241944904
20,refusal_logmass,-11.301109899041112,-12.892233184510214,-16.373629277469192,-6.436367157778125,1.5911232854691022,5.07251937842808
20,compliance_logmass,-12.463801974899198,-13.892603552414595,-18.58817246208893,-2.7378703333848824,1.4288015775153973,6.124370487189733
20,refusal_margin,1.162692075858087,1.0003703679043825,2.21454318461974,-3.698496824393243,0.16232170795370449,-1.0518511087616529
40,safety_projection,0.2395818102762011,-2.4682905045023725e-08,32.07052975051973,-0.5580885971616383,0.23958183495910615,-31.83094794024353
40,refusal_logmass,-12.099213260814455,-13.639168007973511,-15.564622668400864,-6.436367157778125,1.5399547471590562,3.4654094075864084
40,compliance_logmass,-13.07818579527498,-13.819920352631552,-17.42204875009923,-2.7378703333848824,0.7417345573565726,4.34386295482425
40,refusal_margin,0.978972534460524,0.1807523446580383,1.857426081698365,-3.698496824393243,0.7982201898024857,-0.878453547237841
