comparison,layer,n_train,n_eval,direction_norm,delta_norm_mean,delta_norm_std,projection_mean,projection_std,cosine_mean,cosine_std
refusal_prefix-plain,0,32,32,1.7442946434020996,1.7442946434020996,0.0,1.7442947626113892,0.0,1.0000001192092896,0.0
refusal_prefix-plain,1,32,32,2.535397529602051,2.5574588775634766,0.011861812323331833,2.54272723197937,0.013772349804639816,0.994238018989563,0.0020677002612501383
refusal_prefix-plain,2,32,32,3.4101927280426025,3.4367337226867676,0.018454276025295258,3.4098150730133057,0.021304629743099213,0.9921661615371704,0.002774441847577691
refusal_prefix-plain,3,32,32,4.972714424133301,5.0339179039001465,0.05977078527212143,4.983972549438477,0.058649372309446335,0.9900835752487183,0.0028543504886329174
refusal_prefix-plain,4,32,32,5.8087921142578125,5.938262939453125,0.07166452705860138,5.807170391082764,0.06967088580131531,0.9779430627822876,0.005973046645522118
refusal_prefix-plain,5,32,32,6.581681728363037,6.830571174621582,0.08099940419197083,6.571174144744873,0.10076472908258438,0.9620811343193054,0.013932306319475174
refusal_prefix-plain,6,32,32,6.910332202911377,7.314946174621582,0.1262214034795761,6.877778053283691,0.15468215942382812,0.9404889345169067,0.025485729798674583
refusal_prefix-plain,7,32,32,7.724091529846191,8.21714973449707,0.2132570743560791,7.63408899307251,0.17302700877189636,0.9296859502792358,0.03220498189330101
refusal_prefix-plain,8,32,32,7.9910688400268555,8.627962112426758,0.25892284512519836,7.888683319091797,0.21670754253864288,0.9151104688644409,0.03614113852381706
refusal_prefix-plain,9,32,32,8.3043212890625,9.00433349609375,0.31665828824043274,8.088510513305664,0.3121128976345062,0.8991297483444214,0.0410536527633667
refusal_prefix-plain,10,32,32,8.181641578674316,8.975879669189453,0.3056381344795227,7.914597511291504,0.3395704925060272,0.8826600313186646,0.04535325989127159
refusal_prefix-plain,11,32,32,8.658681869506836,9.486193656921387,0.2616508901119232,8.328348159790039,0.4236792325973511,0.8786977529525757,0.051446087658405304
refusal_prefix-plain,12,32,32,9.372298240661621,10.221595764160156,0.2668472230434418,9.004951477050781,0.46972450613975525,0.881873607635498,0.05538540706038475
refusal_prefix-plain,13,32,32,9.9978609085083,10.805278778076172,0.2197275161743164,9.587961196899414,0.5525559186935425,0.8876392841339111,0.05266396701335907
refusal_prefix-plain,14,32,32,11.51740550994873,12.405208587646484,0.31329432129859924,11.155707359313965,0.6252018809318542,0.8994312882423401,0.047609422355890274
refusal_prefix-plain,15,32,32,13.237142562866211,14.189756393432617,0.3567734658718109,12.88351058959961,0.64313805103302,0.9081870317459106,0.044044457376003265
refusal_prefix-plain,16,32,32,14.241958618164062,15.150068283081055,0.4772793650627136,13.65455436706543,0.7033476829528809,0.9015992283821106,0.043501682579517365
refusal_prefix-plain,17,32,32,16.211496353149414,17.124195098876953,0.4961901605129242,15.538028717041016,0.729007363319397,0.9076074361801147,0.03902508690953255
refusal_prefix-plain,18,32,32,17.169189453125,18.186511993408203,0.4173637926578522,16.533666610717773,0.673223614692688,0.9094034433364868,0.03793777525424957
refusal_prefix-plain,19,32,32,18.548290252685547,19.80795669555664,0.41194507479667664,17.93459701538086,0.8304391503334045,0.9055770635604858,0.04072737693786621
refusal_prefix-plain,20,32,32,21.05156135559082,22.49648666381836,0.46034660935401917,20.38381004333496,0.8984171748161316,0.9062471389770508,0.03902948647737503
refusal_prefix-plain,21,32,32,23.26095962524414,24.817325592041016,0.5783990025520325,22.441755294799805,0.9987906217575073,0.9044938087463379,0.03942127898335457
refusal_prefix-plain,22,32,32,25.37051773071289,27.15245246887207,0.7870157957077026,24.53044891357422,1.2253998517990112,0.9037022590637207,0.042846303433179855
refusal_prefix-plain,23,32,32,27.51239585876465,29.478099822998047,0.8724616765975952,26.602994918823242,1.2819157838821411,0.902851939201355,0.043215312063694
refusal_prefix-plain,24,32,32,31.233356475830078,33.36482238769531,1.016790747642517,30.314285278320312,1.5737290382385254,0.9087391495704651,0.04213384538888931
refusal_prefix-plain,25,32,32,33.80842208862305,36.1987190246582,1.2184514999389648,32.87782669067383,1.8121508359909058,0.9083563685417175,0.042311396449804306
refusal_prefix-plain,26,32,32,38.314674377441406,41.13133239746094,1.4954142570495605,37.30769348144531,2.3449630737304688,0.9069075584411621,0.04479655250906944
refusal_prefix-plain,27,32,32,43.15103530883789,46.767948150634766,1.8586549758911133,42.4227294921875,2.925305128097534,0.9066870808601379,0.04480551555752754
refusal_prefix-plain,28,32,32,94.56814575195312,100.09394836425781,3.877821207046509,93.03598022460938,6.026918888092041,0.9288082122802734,0.03576378896832466
harmful_prefix-plain,0,32,32,1.0435932874679565,1.4708335399627686,0.2615721821784973,1.0317814350128174,0.22004929184913635,0.6978530883789062,0.058090921491384506
harmful_prefix-plain,1,32,32,1.3974307775497437,2.2131381034851074,0.40042829513549805,1.3839073181152344,0.1412716656923294,0.6372373104095459,0.07558368891477585
harmful_prefix-plain,2,32,32,2.1551156044006348,3.188713312149048,0.3899855613708496,2.1162924766540527,0.12243904918432236,0.6707959175109863,0.06535370647907257
