k,lookback,adaptive_projection,refusal_projection,adaptive_fraction_of_refusal
5,0,-1.3282134110576536,50.89490058524477,-0.026097180577708476
5,1,-2.4618400854567075,55.596553527870064,-0.0442804441865737
5,2,-0.0006773949035106,52.45986865342029,-1.291263056691689e-05
5,4,7.547683506836126,81.09442886399346,0.09307277469694783
10,0,-1.636806076838195,45.66509418948296,-0.03584370307102454
10,1,-0.5617003980224118,43.36762297372877,-0.012952067913952271
10,2,-2.4176351954600563,48.15270681907794,-0.050207669623718795
10,4,-1.8913683050249253,51.97658879223045,-0.0363888502299645
10,8,13.073882202429274,62.037752759968576,0.21074074447882848
15,0,-0.9722896573002352,44.32086505846012,-0.02193751534447185
15,1,-0.5996315190397157,43.34395516576942,-0.013834259396642934
15,2,0.250411333847631,39.85689727733472,0.006282760348985608
15,4,0.13050889822603,45.63645642008518,0.002859750919849934
15,8,-1.726254781148185,50.85067925131394,-0.03394752649451738
20,0,-1.6299027716455283,45.27452347029938,-0.03600044013085557
20,1,-0.886672586476876,41.96048969871428,-0.021131130566954388
20,2,-0.4847488461827939,41.13468478373223,-0.011784430796817489
20,4,-0.1787445265456942,41.70086583476856,-0.0042863504861969555
20,8,1.679630839203033,41.664830428691,0.04031291671947896
