k,lookback,metric,n,mean_diff,median_diff,std_diff,se_diff,adaptive_gt_static,adaptive_lt_static,q25_diff,q75_diff
5,0,safety_projection,163,-1.3282134379345947,-1.2442641258239746,5.128990728436003,0.4017335585938845,61,102,-5.1930899024009705,1.9453098773956299
5,0,kl_to_static,163,11.451404223412824,11.230852127075195,4.189528538649181,0.32814920084197474,163,0,8.685818672180176,14.083244323730469
5,0,refusal_margin,163,-0.49963726990062035,-0.611058235168457,2.6910682065290703,0.2107807294394245,57,106,-1.9429447650909424,0.5516371726989746
5,0,refusal_logmass,163,2.3593002349321095,2.415605545043947,4.241456619946185,0.332216522074345,122,41,-0.12853384017944425,4.352092981338501
5,0,compliance_logmass,163,2.8589374993476397,2.782215118408203,4.194099452920603,0.3285072224788837,128,35,0.31546449661254883,5.610270500183105
5,1,safety_projection,163,-2.461840112150812,-2.2635440826416016,6.301004522633762,0.4935327637774275,59,104,-6.711978077888489,1.8224319219589225
5,1,kl_to_static,163,10.231397441925447,9.998383522033691,4.61076052544068,0.3611426363943378,163,0,7.096908807754517,13.047943592071533
5,1,refusal_margin,163,-3.998127586271134,-2.3658151626586914,6.044079568986136,0.4734088482967101,47,116,-8.27045750617981,0.6109323501586916
5,1,refusal_logmass,163,0.34435537219778894,0.2519092559814471,5.08033102125381,0.39792223617950384,83,80,-2.763049602508546,3.6324958801269545
5,1,compliance_logmass,163,4.34248295159542,4.206111907958983,4.320955250758776,0.33844333540871463,136,27,1.4934743642807007,7.127958059310913
5,2,safety_projection,163,-0.0006774294595776892,0.16190767288208008,5.377545578625641,0.42120187697450706,84,79,-3.8140026330947876,3.402625560760498
5,2,kl_to_static,163,10.878132314038423,11.001198768615724,4.082062411101207,0.3197318040998058,163,0,7.979540586471558,13.535467624664307
5,2,refusal_margin,163,0.3077821256192915,1.1682796478271484,3.7543165161687515,0.29406076438515566,100,63,-1.1156976222991943,2.6111698150634766
5,2,refusal_logmass,163,3.5538310602398737,3.7331638336181623,3.7387938143994894,0.2928449325478736,128,35,0.8770905137062064,5.774727821350098
5,2,compliance_logmass,163,3.2460489331578914,3.2969818115234393,3.423911507907555,0.26818144684026174,135,28,0.7498971223831177,5.729109764099121
5,4,safety_projection,162,7.5661589453617735,7.889425620436668,9.963535658153177,0.7828092920526758,119,43,-0.14979898929595947,17.839314222335815
5,4,kl_to_static,162,8.026399088494571,7.2645368576049805,2.511547203838692,0.19732578434493903,162,0,6.324157238006592,9.218937158584595
5,4,refusal_margin,162,-4.6236688038449225,-5.528140544891357,2.823914852946455,0.2218677046679834,13,149,-6.540674567222595,-3.6551483869552612
5,4,refusal_logmass,162,0.5268006641187787,0.18377280235290527,3.3459711728077197,0.2628843228830049,85,77,-2.374273121356964,2.741210460662842
5,4,compliance_logmass,162,5.150469470171281,4.357500314712524,2.904507363481298,0.22819965030265404,158,4,3.6597553491592407,6.684686183929442
10,0,safety_projection,163,-1.6368060567261982,-1.5150055289268494,6.208674541361114,0.48630092150952814,59,104,-5.076363980770111,1.7317394614219666
10,0,kl_to_static,163,11.58677472951222,11.91812515258789,4.4607425011621125,0.3493923178740643,163,0,8.834298133850098,14.56670618057251
10,0,refusal_margin,163,0.4251148901834078,0.1978693008422852,2.67933674536621,0.20986185048448067,90,73,-0.9289398193359375,1.5038788318634033
10,0,refusal_logmass,163,2.155332372232449,2.1699018478393537,4.520426513022579,0.3540671304727558,122,41,0.0670642852783212,5.031466960906982
10,0,compliance_logmass,163,1.7302174789693916,2.0533695220947266,4.8282079900663835,0.3781744362934847,113,50,-0.45928955078125,4.415224552154542
10,1,safety_projection,163,-0.561700429378843,-0.43795204162597656,5.509621085703177,0.4315468290851009,73,90,-3.4398659765720367,2.374146282672882
10,1,kl_to_static,163,11.336267510806124,10.87588596343994,4.871568681710144,0.3815707077783528,163,0,7.83525013923645,14.70092487335205
10,1,refusal_margin,163,0.20439468644148,0.0698823928833008,2.5749297265482927,0.20168406163035837,84,79,-0.995694637298584,1.7025704383850098
10,1,refusal_logmass,163,1.9934471136221856,2.199880599975586,4.165982499597022,0.3263049327276319,118,45,-0.362659454345704,4.808783531188965
10,1,compliance_logmass,163,1.789052429557578,2.271206855773924,4.3857855730868955,0.3435212381526733,115,48,-0.4850163459777823,4.619030952453614
10,2,safety_projection,163,-2.4176352066130726,-2.9095826148986816,5.95977831990524,0.4668058648677451,54,109,-6.035440444946289,1.1408517360687256
10,2,kl_to_static,163,11.82167801023261,11.905856132507324,4.565194084006209,0.3575735972521064,163,0,8.71984338760376,14.716701984405518
10,2,refusal_margin,163,0.04647325774643319,0.16852188110351562,1.9348068812666424,0.15154577084607068,88,75,-1.3612184524536133,1.4157028198242188
10,2,refusal_logmass,163,1.7251851555028577,2.199435234069824,4.52936341840506,0.354767122925894,109,54,-1.3313338756561288,5.000733852386475
10,2,compliance_logmass,163,1.6787118977564244,1.8818702697753906,4.820171415398369,0.3775449631844016,110,53,-1.0156211853027353,4.870107650756837
10,4,safety_projection,163,-1.8913682126925766,-2.849097728729248,8.906279279932006,0.6975936316517964,62,101,-7.593116760253906,2.8347912430763254
10,4,kl_to_static,163,10.776042630336036,10.00154972076416,4.501841293903275,0.35261142376370475,163,0,7.805063247680664,13.367802143096924
10,4,refusal_margin,163,-0.403247778401053,-0.6470556259155273,2.4588988894336383,0.19259582506126802,69,94,-1.7884496450424194,1.02683025598526
10,4,refusal_logmass,163,1.967307520790334,2.432924270629883,4.216797096363898,0.3302850391205899,122,41,-0.17099547386169434,4.207102537155151
10,4,compliance_logmass,163,2.3705552955346603,2.3489017486572283,4.126160584410657,0.32318583960680647,118,45,-0.4617624282836932,5.067577362060548
10,8,safety_projection,163,13.07388218816804,12.143594980239868,9.055377318782432,0.7092718913520271,155,8,6.146195888519287,22.005035400390625
10,8,kl_to_static,163,9.946966629086829,9.72204303741455,2.6418765635247996,0.2069277425959073,163,0,9.10797643661499,11.195992469787598
10,8,refusal_margin,163,0.06465678127265417,-1.9443988800048828,5.468916074869751,0.4283585665748855,70,93,-3.8014845848083496,3.3593087196350098
10,8,refusal_logmass,163,4.775682847924028,4.851920604705809,3.584374459270378,0.2807498751893458,146,17,3.8018853664398184,6.422749042510985
10,8,compliance_logmass,163,4.711026076884495,3.6065402030944824,5.071884840912135,0.3972606802779939,141,22,0.7627949714660645,9.387451887130737
15,0,safety_projection,163,-0.9722896428561649,-0.45813083648681596,7.708714559942572,0.6037931235049337,80,83,-5.877484381198883,4.170201510190964
15,0,kl_to_static,163,12.52531061543186,12.386160850524902,4.59224714369111,0.3596925564223411,163,0,9.84833574295044,15.765897750854492
15,0,refusal_margin,163,0.49878344725977425,0.4775867462158203,3.110181723016372,0.2436082335914124,93,70,-1.0157904624938965,1.940085768699646
15,0,refusal_logmass,163,1.4048597849219855,2.1077003479003924,4.215253576920692,0.3301641413472248,111,52,-0.821629524230957,3.833028793334962
15,0,compliance_logmass,163,0.9060763365651933,1.1523389816284215,4.819866854505415,0.3775211081341952,98,65,-1.3082752227783203,3.2327089309692383
15,1,safety_projection,163,-0.5996314800955767,-1.1806464195251465,6.853620413471915,0.5368169809102662,75,88,-5.865496754646301,4.078573942184448
15,1,kl_to_static,163,12.64775300318478,12.900732040405272,5.111221629083912,0.4003417753184445,163,0,9.392972946166992,16.079121589660645
15,1,refusal_margin,163,0.46396570995541436,0.28606128692626953,3.056888274835354,0.23943396857104499,96,67,-0.6617474555969238,1.7080626487731934
15,1,refusal_logmass,163,1.4092400227587647,1.2151689529418928,5.076237882059176,0.39760163677475857,106,57,-1.2844905853271475,4.896862506866456
15,1,compliance_logmass,163,0.9452743163000952,0.5921602249145526,5.003086220336644,0.39187195642694284,100,63,-1.690483570098877,3.813404083251953
15,2,safety_projection,163,0.2504113237916326,-0.3319607973098755,5.741188363284733,0.4496845780892025,78,85,-3.1593236178159714,3.5165830552577972
15,2,kl_to_static,163,12.356550669011893,12.151285171508787,5.292767074669301,0.4145615120586922,163,0,9.035770893096924,15.790408611297607
15,2,refusal_margin,163,0.4957415911317603,0.07341384887695312,3.033744604353448,0.23762121639544195,86,77,-0.8922672271728518,1.9385383129119873
15,2,refusal_logmass,163,2.274136671259359,2.8661956787109375,5.189356824764096,0.40646179617128037,110,53,-0.983229160308837,5.111508846282959
15,2,compliance_logmass,163,1.7783950779935562,1.7913179397583008,4.849467691047767,0.3798396245892135,108,55,-0.6574273109436026,4.395203113555908
15,4,safety_projection,163,0.13050889575773952,0.072014570236206,5.771308297300952,0.4520437533963176,85,78,-3.9664049223065376,3.701200395822525
15,4,kl_to_static,163,12.083047787104647,11.644807815551758,4.6771913963580465,0.36634590377912063,163,0,9.150612354278564,14.457139492034912
15,4,refusal_margin,163,0.4257203954860477,0.29823207855224587,2.8763186038499673,0.22529066039602588,93,70,-0.9863443374633788,1.746051549911499
15,4,refusal_logmass,163,2.0404220439173693,2.612478256225586,4.652505891095037,0.36441238578307217,118,45,-0.8052339553832999,4.715315341949463
15,4,compliance_logmass,163,1.6147016455059402,2.198843955993654,4.8892017260923994,0.3829518344061031,116,47,-0.8851141929626456,4.488623619079588
15,8,safety_projection,163,-1.7262547946780737,-0.9768929481506348,8.29807288443132,0.6499552301492544,74,89,-7.039137363433838,3.623980164527893
15,8,kl_to_static,163,11.128015379598535,10.9243803024292,4.654415813069091,0.3645619824175561,163,0,8.237247467041016,13.797915935516357
15,8,refusal_margin,163,0.40182919663154276,0.24055004119873047,2.6057400802270108,0.20409731477902646,88,75,-0.8939580917358398,1.8291983604431155
15,8,refusal_logmass,163,2.005944727022955,1.8820343017578125,4.1653812253142695,0.3262578372911044,117,46,-0.6971840858459473,4.534886598587037
15,8,compliance_logmass,163,1.6041155333167936,1.5628604888916016,4.653697242689048,0.364505699641634,99,64,-1.1619551181793213,4.200468540191652
20,0,safety_projection,163,-1.6299026948542683,-2.5459363460540776,8.769959991048678,0.686916280896517,68,95,-7.808427184820175,4.885789632797241
20,0,kl_to_static,163,13.82906055916672,13.93292236328125,4.808466223055341,0.37662814176222204,163,0,10.887720108032227,16.776599884033203
20,0,refusal_margin,163,0.16232164725204187,0.5099139213562012,3.361116161510869,0.26326293571267995,93,70,-0.9389589428901672,1.902163028717041
20,0,refusal_logmass,163,1.5911233394058204,1.6254692077636719,5.05770087635464,0.3961497064318022,110,53,-1.1200509071350098,4.770441532135009
20,0,compliance_logmass,163,1.4288016981873777,1.4233102798461932,4.834664013589482,0.37868011108246813,108,55,-0.7473516464233398,4.495730876922607
20,1,safety_projection,163,-0.8866725731298236,-0.994381189346313,7.419270534860879,0.5811221177717525,72,91,-6.24697944521904,3.950728327035904
20,1,kl_to_static,163,12.851302875331575,12.958691596984863,4.942093016597095,0.38709460000621826,163,0,9.668208599090576,16.34162998199463
20,1,refusal_margin,163,0.6369454648597109,0.2549142837524415,2.7784444579847576,0.21762456564276875,88,75,-0.9568300247192383,1.791980266571045
20,1,refusal_logmass,163,1.9080598098368733,1.813316345214842,4.3961224088941755,0.3443308816192595,112,51,-0.4940352439880371,4.836747169494628
20,1,compliance_logmass,163,1.2711143471026347,1.5380725860595703,4.494418262660977,0.35203000708459303,107,56,-1.068655014038086,3.6695356369018555
20,2,safety_projection,163,-0.4847487944401115,-0.9720361232757566,5.34648290156338,0.4187688603331453,71,92,-3.7087056040763855,2.9048564434051514
20,2,kl_to_static,163,13.620773431165087,13.29446792602539,4.887707990531528,0.3828348360073459,163,0,10.826691627502441,16.803049087524414
20,2,refusal_margin,163,0.0035725941687273833,0.1723718643188477,3.3206360374844848,0.2600922876966325,84,79,-1.800854206085205,1.6527318954467778
20,2,refusal_logmass,163,1.6808365137299146,1.7862424850463867,4.4788695677714605,0.35081213930900423,113,50,-0.7906978130340558,4.0974926948547346
20,2,compliance_logmass,163,1.6772639246806045,1.6125106811523438,4.449838732884061,0.34853826882926114,111,52,-0.46627092361450106,3.9972491264343253
20,4,safety_projection,163,-0.1787445044224979,-0.3269979953765869,5.803517231407544,0.45456655181851374,77,86,-3.7461585104465485,4.066631793975831
20,4,kl_to_static,163,12.8203747315458,12.907444953918455,5.361885700624294,0.4199753006654978,163,0,9.83638620376587,16.63111114501953
20,4,refusal_margin,163,0.36166595791015155,0.5315713882446289,3.591709729327259,0.2813244178818993,97,66,-1.2745304107666016,2.0570573806762695
20,4,refusal_logmass,163,1.5388877912898737,1.4862775802612305,4.876434979767121,0.3819518656589411,107,56,-0.9593863487243652,4.355774641036988
20,4,compliance_logmass,163,1.1772218310028495,1.4737520217895508,4.888145064338021,0.3828690702699811,106,57,-1.0442328453063965,3.7940077781677246
20,8,safety_projection,163,1.6796308297869618,1.494960784912109,5.506182871858485,0.431277527392786,108,55,-1.6340678930282593,4.461977899074554
20,8,kl_to_static,163,11.95379980010169,11.853155136108398,4.988628779814895,0.3907395622900689,163,0,9.007703304290771,15.56887149810791
20,8,refusal_margin,163,0.4360161946595081,0.4872751235961914,2.8183944309496227,0.22075368902291545,98,65,-0.7810785770416261,1.8080086708068848
20,8,refusal_logmass,163,2.0743205225540815,2.427578926086426,4.447954745334861,0.34839070353570534,120,43,-0.016145706176757812,4.585136413574218
20,8,compliance_logmass,163,1.6383043235065016,1.8499441146850586,4.943825116911531,0.38723026857338916,115,48,-0.5661306381225586,4.490459442138672
