k,lookback,metric,static,adaptive,refusal,clean,adaptive_minus_static,adaptive_minus_refusal
5,0,safety_projection,2.687694104902583e-08,-1.3282134110576536,50.89490058524477,6.865498533826664,-1.3282134379345947,-52.22311399630242
5,0,kl_to_static,0.0,11.451404223412824,13.160824497784574,10.733660074830787,11.451404223412824,-1.70942027437175
5,0,refusal_margin,1.56457779049142,1.0649405205907998,5.991022882286025,-3.698496947259259,-0.4996372699006202,-4.926082361695225
5,0,refusal_logmass,-11.302710495477806,-8.943410260545695,-11.51955240635784,-6.436367201658846,2.3593002349321104,2.5761421458121454
5,0,compliance_logmass,-12.867288284140862,-10.008350784793222,-17.510575288643867,-2.7378702543995863,2.8589374993476397,7.502224503850645
5,1,safety_projection,2.6694104715358993e-08,-2.4618400854567075,55.596553527870064,,-2.461840112150812,-58.05839361332677
5,1,kl_to_static,0.0,10.231397441925449,13.720485936644618,,10.231397441925449,-3.4890884947191694
5,1,refusal_margin,1.3221223866281333,-2.6760051996430003,5.730601357536082,,-3.9981275862711336,-8.406606557179082
5,1,refusal_logmass,-10.871765258487748,-10.52740988628996,-12.615732953592312,,0.3443553721977892,2.088323067302353
5,1,compliance_logmass,-12.193887644750207,-7.851404693154789,-18.346334287725345,,4.342482951595418,10.494929594570555
5,2,safety_projection,3.4556067063033214e-08,-0.0006773949035106,52.45986865342029,,-0.000677429459577663,-52.4605460483238
5,2,kl_to_static,0.0,10.878132314038425,13.035890614328208,,10.878132314038425,-2.1577583002897835
5,2,refusal_margin,1.4631783589263636,1.770960484545655,5.647175970253038,,0.3077821256192914,-3.876215485707383
5,2,refusal_logmass,-10.210424246963548,-6.656593186723674,-13.789689233697995,,3.553831060239874,7.133096046974321
5,2,compliance_logmass,-11.67360260442722,-8.42755367126933,-19.436865203951033,,3.2460489331578906,11.009311532681703
5,4,safety_projection,-3.821279373637006e-08,7.547683506836126,81.09442886399346,,7.54768354504892,-73.54674535715733
5,4,kl_to_static,0.0,8.026399088494571,11.348466800034412,,8.026399088494571,-3.322067711539841
5,4,refusal_margin,2.8453024201597903,-1.765743499920692,4.634130665129679,,-4.611045920080482,-6.399874165050371
5,4,refusal_logmass,-6.554450029975797,-6.0612015459272595,-10.55145648066983,,0.4932484840485376,4.49025493474257
5,4,compliance_logmass,-9.399752452329624,-4.295458046006567,-15.185587145799508,,5.104294406323056,10.89012909979294
10,0,safety_projection,-2.0111996703352665e-08,-1.636806076838195,45.66509418948296,5.679323461889489,-1.6368060567261982,-47.301900266321155
10,0,kl_to_static,0.0,11.58677472951222,14.93406277785272,10.916128774362107,11.58677472951222,-3.3472880483405003
10,0,refusal_margin,0.7750401950321315,1.2001550852155394,2.8920587030656497,-3.698496947259259,0.42511489018340787,-1.6919036178501103
10,0,refusal_logmass,-12.017033403270815,-9.861701031038368,-15.070534135666362,-6.436367201658846,2.155332372232447,5.208833104627994
10,0,compliance_logmass,-12.792073595223297,-11.061856116253905,-17.96259283873201,-2.7378702543995863,1.7302174789693918,6.900736722478106
10,1,safety_projection,3.135643122386347e-08,-0.5617003980224118,43.36762297372877,,-0.561700429378843,-43.92932337175118
10,1,kl_to_static,0.0,11.336267510806124,14.34165290674549,,11.336267510806124,-3.0053853959393653
10,1,refusal_margin,0.9335113939332084,1.1379060803746883,2.9400819825248483,,0.20439468644147996,-1.80217590215016
10,1,refusal_logmass,-11.9885441313492,-9.995097017727016,-16.1625609427142,,1.9934471136221834,6.167463924987185
10,1,compliance_logmass,-12.9220555247339,-11.133003095176322,-19.10264292523905,,1.789052429557577,7.969639830062727
10,2,safety_projection,1.1153016353677389e-08,-2.4176351954600563,48.15270681907794,,-2.4176352066130726,-50.570342014538
10,2,kl_to_static,0.0,11.82167801023261,15.16368381231109,,11.82167801023261,-3.3420058020784804
10,2,refusal_margin,1.1864801158934284,1.2329533736398617,2.114999736013588,,0.046473257746433294,-0.8820463623737262
10,2,refusal_logmass,-11.709038513935417,-9.98385335843256,-16.107193847375413,,1.7251851555028566,6.123340488942853
10,2,compliance_logmass,-12.895518629828844,-11.21680673207242,-18.222193583389,,1.6787118977564237,7.00538685131658
10,4,safety_projection,-9.233234850175541e-08,-1.8913683050249253,51.97658879223045,,-1.8913682126925768,-53.86795709725538
10,4,kl_to_static,0.0,10.776042630336036,12.387013858081373,,10.776042630336036,-1.6109712277453365
10,4,refusal_margin,1.3109344565795242,0.9076866781784712,4.629477632557688,,-0.4032477784010531,-3.7217909543792165
10,4,refusal_logmass,-11.414414328300149,-9.447106807509812,-11.53551754337147,,1.967307520790337,2.0884107358616575
10,4,compliance_logmass,-12.725348784879673,-10.354793489345012,-16.164995175929157,,2.370555295534661,5.810201686584145
10,8,safety_projection,1.4261234026013708e-08,13.073882202429274,62.037752759968576,,13.07388218816804,-48.9638705575393
10,8,kl_to_static,0.0,9.946966629086829,14.4542742079021,,9.946966629086829,-4.507307578815272
10,8,refusal_margin,-1.7703543777114774,-1.7056975964388232,3.8712993106959055,,0.06465678127265417,-5.5769969071347285
10,8,refusal_logmass,-10.569340972812627,-5.793658124888601,-13.072766204553147,,4.775682847924026,7.279108079664546
10,8,compliance_logmass,-8.798986605334273,-4.087960528449778,-16.944065515249054,,4.711026076884495,12.856104986799277
15,0,safety_projection,-1.4444070359680551e-08,-0.9722896573002352,44.32086505846012,2.075454280420315,-0.9722896428561648,-45.29315471576036
15,0,kl_to_static,0.0,12.52531061543186,15.030101553428391,11.316047288157458,12.52531061543186,-2.504790937996532
15,0,refusal_margin,0.8480499931639689,1.3468334404237432,2.776217548393765,-3.698496947259259,0.4987834472597743,-1.4293841079700218
15,0,refusal_logmass,-12.38081713688154,-10.975957351959556,-16.078784764178693,-6.436367201658846,1.4048597849219835,5.102827412219137
15,0,compliance_logmass,-13.22886713004551,-12.322790793480316,-18.85500231549784,-2.7378702543995863,0.906076336565194,6.532211522017523
15,1,safety_projection,-3.894413907103743e-08,-0.5996315190397157,43.34395516576942,,-0.5996314800955767,-43.94358668480914
15,1,kl_to_static,0.0,12.64775300318478,14.403568724181754,,12.64775300318478,-1.7558157209969742
15,1,refusal_margin,0.6357278714150739,1.0996935813704882,3.366169993862784,,0.4639657099554143,-2.2664764124922954
15,1,refusal_logmass,-12.50091933838429,-11.091679315625523,-15.920680034380018,,1.409240022758766,4.829000718754495
15,1,compliance_logmass,-13.136647212107672,-12.191372895807577,-19.286850028242803,,0.945274316300095,7.095477132435226
15,2,safety_projection,1.0055998351676332e-08,0.250411333847631,39.85689727733472,,0.2504113237916326,-39.60648594348709
15,2,kl_to_static,0.0,12.356550669011892,14.785664850811653,,12.356550669011892,-2.4291141817997612
15,2,refusal_margin,0.7072788381869076,1.203020429318668,4.924651824623529,,0.4957415911317603,-3.721631395304861
15,2,refusal_logmass,-12.914517800500787,-10.640381129241428,-14.501178893574908,,2.2741366712593596,3.86079776433348
15,2,compliance_logmass,-13.621796634359615,-11.84340155636606,-19.425830718198437,,1.7783950779935545,7.582429161832376
15,4,safety_projection,2.4682905045023723e-09,0.13050889822603,45.63645642008518,,0.1305088957577395,-45.50594752185915
15,4,kl_to_static,0.0,12.083047787104649,13.395412443239996,,12.083047787104649,-1.3123646561353475
15,4,refusal_margin,0.8359854579703209,1.2617058534563683,4.720281337667828,,0.42572039548604745,-3.4585754842114595
15,4,refusal_logmass,-12.450550120301042,-10.410128076383671,-12.424083727269084,,2.0404220439173706,2.0139556508854124
15,4,compliance_logmass,-13.28653557534598,-11.67183392984004,-17.144365064936913,,1.6147016455059386,5.472531135096872
15,8,safety_projection,1.3529888691346338e-08,-1.726254781148185,50.85067925131394,,-1.7262547946780737,-52.57693403246213
15,8,kl_to_static,0.0,11.128015379598535,15.906909753208511,,11.128015379598535,-4.778894373609976
15,8,refusal_margin,0.931732201868771,1.333561398500314,3.608756375459074,,0.40182919663154304,-2.27519497695876
15,8,refusal_logmass,-11.638016269982227,-9.632071542959272,-13.0394646404711,,2.005944727022955,3.4073930975118287
15,8,compliance_logmass,-12.569748468559943,-10.96563293524315,-16.648221015930176,,1.6041155333167936,5.682588080687026
20,0,safety_projection,-7.67912601400738e-08,-1.6299027716455283,45.27452347029938,5.148264472835635,-1.629902694854268,-46.904426241944904
20,0,kl_to_static,0.0,13.82906055916672,16.4658595265055,11.843011579630565,13.82906055916672,-2.6367989673387804
20,0,refusal_margin,1.000370402277613,1.1626920495296549,2.2145428920816057,-3.698496947259259,0.1623216472520419,-1.0518508425519508
20,0,refusal_logmass,-12.892233220894644,-11.301109881488824,-16.37362949687279,-6.436367201658846,1.5911233394058204,5.072519615383968
20,0,compliance_logmass,-13.892603621892402,-12.463801923705024,-18.588172386029015,-2.7378702543995863,1.4288016981873781,6.124370462323991
20,1,safety_projection,-1.3347052357679496e-08,-0.886672586476876,41.96048969871428,,-0.8866725731298236,-42.84716228519115
20,1,kl_to_static,0.0,12.851302875331577,15.08954814752918,,12.851302875331577,-2.238245272197604
20,1,refusal_margin,0.6500879401809598,1.2870334050406709,2.2759546999551037,,0.636945464859711,-0.9889212949144328
20,1,refusal_logmass,-13.261190525593202,-11.353130715756327,-16.53885950193815,,1.9080598098368746,5.185728786181821
20,1,compliance_logmass,-13.911278467899637,-12.640164120797,-18.81481420481863,,1.2711143471026372,6.174650084021632
20,2,safety_projection,-5.17426824277164e-08,-0.4847488461827939,41.13468478373223,,-0.4847487944401115,-41.61943362991503
20,2,kl_to_static,0.0,13.620773431165087,15.620512162798022,,13.620773431165087,-1.9997387316329345
20,2,refusal_margin,0.7791082566501173,0.7826808508188446,2.0905672787157306,,0.00357259416872735,-1.3078864278968858
20,2,refusal_logmass,-13.205544126545725,-11.52470761281581,-16.584613074554255,,1.6808365137299148,5.059905461738445
20,2,compliance_logmass,-13.984652386852568,-12.307388462171964,-18.675180353269987,,1.677263924680604,6.3677918910980225
20,4,safety_projection,-2.2123196373687933e-08,-0.1787445265456942,41.70086583476856,,-0.1787445044224978,-41.87961036131425
20,4,kl_to_static,0.0,12.8203747315458,15.552394894734482,,12.8203747315458,-2.7320201631886825
20,4,refusal_margin,0.6877054963375162,1.0493714542476678,2.9758503276146264,,0.36166595791015155,-1.9264788733669587
20,4,refusal_logmass,-12.645496077515595,-11.106608286225722,-16.16223823804797,,1.5388877912898735,5.055629951822247
20,4,compliance_logmass,-13.333201570744896,-12.155979739742046,-19.138088565662596,,1.17722183100285,6.98210882592055
20,8,safety_projection,9.416071183842384e-09,1.679630839203033,41.664830428691,,1.6796308297869618,-39.98519958948796
20,8,kl_to_static,0.0,11.95379980010169,14.055005326775683,,11.95379980010169,-2.1012055266739935
20,8,refusal_margin,0.7507210640819526,1.1867372587414606,5.204776453825594,,0.436016194659508,-4.018039195084134
20,8,refusal_logmass,-12.71420962093798,-10.6398890983839,-13.328192084844858,,2.07432052255408,2.6883029864609576
20,8,compliance_logmass,-13.46493068465426,-11.826626361147758,-18.532968538670453,,1.6383043235065013,6.706342177522695
