k,lookback,condition,layer,n,safety_projection_mean,safety_projection_std,kl_to_static_mean,kl_to_static_std,refusal_logmass_mean,refusal_logmass_std,compliance_logmass_mean,compliance_logmass_std,refusal_margin_mean,refusal_margin_std
5,0,adaptive,28,163,-1.3282134110576536,4.1130142221953,11.451404223412824,4.17665745281352,-8.943410260545695,2.969698290767401,-10.008350784793222,3.242677941180822,1.0649405205907998,2.0516589458910075
5,0,refusal,28,163,50.89490058524477,14.21583146263495,13.160824497784574,4.4843156372766915,-11.51955240635784,1.3841975541478098,-17.510575288643867,1.4414656416628646,5.991022882286025,2.2801185276341034
5,0,static,28,163,2.687694104902583e-08,4.8922525870862215,0.0,0.0,-11.302710495477806,3.654480062482811,-12.867288284140862,3.9624431546039607,1.56457779049142,2.4218401128575135
5,1,adaptive,28,163,-2.4618400854567075,4.278037603629493,10.231397441925449,4.59659532906043,-10.52740988628996,3.384885397776809,-7.851404693154789,4.082413564471851,-2.6760051996430003,5.7626922419198054
5,1,refusal,28,163,55.596553527870064,20.683725080579524,13.720485936644618,5.365209148313509,-12.615732953592312,3.997979506557884,-18.346334287725345,0.8942826291915474,5.730601357536082,3.8417141498252176
5,1,static,28,163,2.6694104715358993e-08,5.953543598941725,0.0,0.0,-10.871765258487748,3.5913662009666583,-12.193887644750207,3.656821654806461,1.3221223866281333,2.1773369785025203
5,2,adaptive,28,163,-0.0006773949035106,5.121172594396196,10.878132314038425,4.069521483119665,-6.656593186723674,2.7829459113987447,-8.42755367126933,2.4477773619955263,1.770960484545655,2.8100376784157297
5,2,refusal,28,163,52.45986865342029,12.217863658033426,13.035890614328208,4.329367743637128,-13.789689233697995,1.8069561605514135,-19.436865203951033,1.9146977600348072,5.647175970253038,1.8380250009923624
5,2,static,28,163,3.4556067063033214e-08,5.626324170930446,0.0,0.0,-10.210424246963548,3.5172538342048667,-11.67360260442722,3.679976073357324,1.4631783589263636,2.0851021881648872
5,4,adaptive,28,162,7.547683506836126,0.3958226825655484,8.026399088494571,2.503783515390779,-6.0612015459272595,0.2193624776488847,-4.295458046006567,0.19628351029342,-1.765743499920692,0.0601574424955219
5,4,refusal,28,163,81.09442886399346,9.604112205761924,11.348466800034412,2.794842860141908,-10.55145648066983,1.148516554307425,-15.185587145799508,0.9879158414352748,4.634130665129679,0.8000804246401607
5,4,static,28,163,-3.821279373637006e-08,9.976370182922205,0.0,0.0,-6.554450029975797,3.37948981460251,-9.399752452329624,3.0066302616424396,2.8453024201597903,2.8108217561142137
10,0,adaptive,28,163,-1.636806076838195,4.316687903500663,11.58677472951222,4.447038190738259,-9.861701031038368,3.49667714910771,-11.061856116253905,3.579493240784926,1.2001550852155394,1.8430920113301283
10,0,refusal,28,163,45.66509418948296,31.29839613674033,14.93406277785272,3.7196166616025064,-15.070534135666362,2.705056433593804,-17.96259283873201,2.0886592402186586,2.8920587030656497,2.6232139822402423
10,0,static,28,163,-2.0111996703352665e-08,4.99877839431868,0.0,0.0,-12.017033403270815,3.785915798806336,-12.792073595223297,4.155445711554338,0.7750401950321315,2.4162155949248305
10,1,adaptive,28,163,-0.5617003980224118,5.036508461355752,11.336267510806124,4.8566022295000275,-9.995097017727016,3.072853497905484,-11.133003095176322,3.490778050322493,1.1379060803746883,2.0763163687252533
10,1,refusal,28,163,43.36762297372877,26.28134809292368,14.34165290674549,4.671481410454094,-16.1625609427142,3.0697725423865414,-19.10264292523905,2.4714453933914213,2.9400819825248483,1.3251130495977346
10,1,static,28,163,3.135643122386347e-08,4.84735275905295,0.0,0.0,-11.9885441313492,3.3589982609459006,-12.9220555247339,3.433493000156292,0.9335113939332084,2.1001145528565375
10,2,adaptive,28,163,-2.4176351954600563,4.874698001099921,11.82167801023261,4.551168877024174,-9.98385335843256,3.2970990511762786,-11.21680673207242,3.453685477957493,1.2329533736398617,1.7432606148880685
10,2,refusal,28,163,48.15270681907794,27.183900211401717,15.16368381231109,4.557762230111724,-16.107193847375413,1.8455725079731036,-18.222193583389,1.9705727586784396,2.114999736013588,1.6444622601765972
10,2,static,28,163,1.1153016353677389e-08,4.965186209524087,0.0,0.0,-11.709038513935417,3.806864777654179,-12.895518629828844,3.8786771534653313,1.1864801158934284,1.5292756448657496
10,4,adaptive,28,163,-1.8913683050249253,6.829541674904222,10.776042630336036,4.4880107196088606,-9.447106807509812,2.988201850939587,-10.354793489345012,3.3172773573399157,0.9076866781784712,2.146196905688185
10,4,refusal,28,163,51.97658879223045,16.702842787872946,12.387013858081373,4.8787586068173745,-11.53551754337147,2.9563720123014248,-16.164995175929157,1.5178629392947751,4.629477632557688,2.118364954728355
10,4,static,28,163,-9.233234850175541e-08,6.80956934081404,0.0,0.0,-11.414414328300149,3.558382805844435,-12.725348784879673,3.603982011349693,1.3109344565795242,2.005311975397166
10,8,adaptive,28,163,13.073882202429274,0.1719053044163597,9.946966629086829,2.6337601800934283,-5.793658124888601,0.158309791239596,-4.087960528449778,0.1139545999797232,-1.7056975964388232,0.0734295963132383
10,8,refusal,28,163,62.037752759968576,19.62483431536958,14.4542742079021,3.7818913982373585,-13.072766204553147,1.1238453903149457,-16.944065515249054,1.9420097540339292,3.8712993106959055,1.538787876454548
10,8,static,28,163,1.4261234026013708e-08,9.06941333617753,0.0,0.0,-10.569340972812627,3.540205392860782,-8.798986605334273,5.075667708525495,-1.7703543777114774,5.438191649093939
15,0,adaptive,28,163,-0.9722896573002352,5.307198365068785,12.52531061543186,4.57813882419412,-10.975957351959556,2.984184552244013,-12.322790793480316,3.4173377969278467,1.3468334404237432,2.2707549895876764
15,0,refusal,28,163,44.32086505846012,30.073952968617142,15.030101553428391,4.7036007066320105,-16.078784764178693,2.985777079567323,-18.85500231549784,2.1779539523795877,2.776217548393765,1.5746387072676018
15,0,static,28,163,-1.4444070359680551e-08,6.275169147717096,0.0,0.0,-12.38081713688154,3.564250640802858,-13.22886713004551,3.756252670169041,0.8480499931639689,2.4136069279535395
15,1,adaptive,28,163,-0.5996315190397157,4.961582666356197,12.64775300318478,5.0955189141587995,-11.091679315625523,3.3933843654288736,-12.191372895807577,3.7505549419308384,1.0996935813704882,2.681391623521436
15,1,refusal,28,163,43.34395516576942,28.62625462621707,14.403568724181754,4.584632008661949,-15.920680034380018,2.7014460447246633,-19.286850028242803,2.728149231825363,3.366169993862784,1.6436449282846837
15,1,static,28,163,-3.894413907103743e-08,5.747389193866637,0.0,0.0,-12.50091933838429,3.8514136186004344,-13.136647212107672,4.0978381534050845,0.6357278714150739,2.183266410509099
15,2,adaptive,28,163,0.250411333847631,5.100265839092348,12.356550669011892,5.276506615121699,-10.640381129241428,3.560762277558937,-11.84340155636606,3.434703643473135,1.203020429318668,2.2445458740310964
15,2,refusal,28,163,39.85689727733472,23.73887437667412,14.785664850811653,4.830535403211988,-14.501178893574908,2.912950748628806,-19.425830718198437,2.717848919211526,4.924651824623529,2.6897137904513286
15,2,static,28,163,1.0055998351676332e-08,4.777510568358935,0.0,0.0,-12.914517800500787,4.031430546278302,-13.621796634359615,3.9718271525028976,0.7072788381869076,2.2731470059282746
15,4,adaptive,28,163,0.13050889822603,5.072585164847876,12.083047787104649,4.662822110798351,-10.410128076383671,3.0704143153923193,-11.67183392984004,3.227129034129214,1.2617058534563683,2.0464359206447553
15,4,refusal,28,163,45.63645642008518,30.703498733506933,13.395412443239996,5.094703001880159,-12.424083727269084,2.770211472363049,-17.144365064936913,1.4546323636392051,4.720281337667828,2.0381210950283957
15,4,static,28,163,2.4682905045023723e-09,4.868104419475937,0.0,0.0,-12.450550120301042,3.9528786989272606,-13.28653557534598,3.8615662660175607,0.8359854579703209,2.4445053719306937
15,8,adaptive,28,163,-1.726254781148185,5.401992333693295,11.128015379598535,4.640116498744767,-9.632071542959272,2.938868009442213,-10.96563293524315,3.4291194370963267,1.333561398500314,2.160850900954091
15,8,refusal,28,163,50.85067925131394,23.2628092795671,15.906909753208511,3.899268588830101,-13.0394646404711,1.6259902877070536,-16.648221015930176,2.164898131859045,3.608756375459074,1.351939908244274
15,8,static,28,163,1.3529888691346338e-08,7.078554874231834,0.0,0.0,-11.638016269982227,3.3423693620477413,-12.569748468559943,3.674953861186819,0.931732201868771,2.0936117186164696
20,0,adaptive,28,163,-1.6299027716455283,6.54563812522703,13.82906055916672,4.7936936344636,-11.301109881488824,3.3609972841903346,-12.463801923705024,3.608868521965286,1.1626920495296549,2.690936433524389
20,0,refusal,28,163,45.27452347029938,30.77777484372981,16.4658595265055,4.75353478250836,-16.37362949687279,3.1225829270283723,-18.588172386029015,2.12214018324372,2.2145428920816057,1.7421672582668697
20,0,static,28,163,-7.67912601400738e-08,7.124180850818757,0.0,0.0,-12.892233220894644,4.018112494907122,-13.892603621892402,3.8441484700588706,1.000370402277613,1.7274619097468358
20,1,adaptive,28,163,-0.886672586476876,5.989331426264078,12.851302875331577,4.92690989925164,-11.353130715756327,3.049320379678345,-12.640164120797,3.1487939706279073,1.2870334050406709,1.9480655006481995
20,1,refusal,28,163,41.96048969871428,26.48302247103261,15.08954814752918,4.796607674021871,-16.53885950193815,3.348590743573014,-18.81481420481863,2.346066448608392,2.2759546999551037,1.6843874850982958
20,1,static,28,163,-1.3347052357679496e-08,5.987823498588246,0.0,0.0,-13.261190525593202,3.3467272732935425,-13.911278467899637,3.5704088344907667,0.6500879401809598,2.461881345436785
20,2,adaptive,28,163,-0.4847488461827939,4.584366056331799,13.620773431165087,4.872691955074215,-11.52470761281581,3.3269614801481455,-12.307388462171964,3.7522596417902334,0.7826808508188446,2.6914477980303197
20,2,refusal,28,163,41.13468478373223,26.058091850375188,15.620512162798022,5.232083931409491,-16.584613074554255,2.873026294143054,-18.675180353269987,2.307415989997218,2.0905672787157306,1.3929456081313716
20,2,static,28,163,-5.17426824277164e-08,4.734486928242644,0.0,0.0,-13.205544126545725,3.448230457540981,-13.984652386852568,3.6747522033505624,0.7791082566501173,2.1188372074842494
