k,response_step,condition,layer,n,safety_projection_mean,safety_projection_std,kl_to_static_mean,kl_to_static_std,refusal_logmass_mean,refusal_logmass_std,compliance_logmass_mean,compliance_logmass_std,refusal_margin_mean,refusal_margin_std
5,0,adaptive,28,163,-1.3285763192396223,4.112119016100396,11.451980643477176,4.177301394891775,-8.94308422533281,2.9687925118257734,-10.007686941170254,3.2417201730065286,1.064602720956861,2.051416685521454
5,0,clean,28,163,6.864371111605065,2.2459254488397344,10.734018016080915,3.2525673897167646,-6.436566478635636,0.8251402684737955,-2.7380774664732574,1.4806668992213912,-3.6984890194758315,1.2561977902789356
5,0,refusal,28,163,50.89448241368393,14.216039346837992,13.160668893094444,4.4848412062908585,-11.519617033882374,1.384172223717593,-17.510553605717384,1.4411717732690092,5.990936571835009,2.2799706202112855
5,0,static,28,163,-2.1026178371686878e-08,4.892397477737089,0.0,0.0,-11.303196233840076,3.654910167446591,-12.867352668127399,3.9627323617192762,1.5641564317276142,2.421475940209885
5,1,adaptive,28,163,-1.5922942231952046,7.204948710159115,10.889233927282453,4.594749776920577,-9.64507012389189,2.7862957680672285,-10.849443676732937,3.052251592382087,1.2043735556807256,2.3414748517475616
5,1,clean,28,163,14.827146845544043,5.325050285947184,13.226580875051534,3.8260323501009568,-3.2975840702355823,4.55894985661379,-8.556797698962908,4.246277679863801,5.2592136230936815,1.133257192991161
5,1,refusal,28,163,51.52759922208961,17.361744055521296,12.150232964863806,4.907547710280048,-11.4112155042543,2.8687215062708864,-16.0347326957375,1.5721421608701625,4.6235171914832,1.909860024778469
5,1,static,28,163,3.4647485229866635e-08,7.153058112598159,0.0,0.0,-11.9715557829734,3.063333475654297,-13.500600427937654,3.051694027428411,1.5290446456955986,2.183931112033039
5,2,adaptive,28,163,0.9042644670770212,13.776054658514346,11.835441606450665,5.031835471670602,-10.405195611751884,2.3333351355523844,-12.156177503199665,2.5607493801614716,1.7509818910821084,1.6660313949393828
5,2,clean,28,163,44.37564552214248,19.336616645703582,16.051279466770634,3.773776941194319,-11.062524944726675,1.6033788667589004,-15.014798462756572,1.3595156982372425,3.9522735180298976,1.3570270863545777
5,2,refusal,28,163,51.51240091967436,24.71497940438314,16.092611052507273,4.015728877885988,-12.920769252660085,1.6826674784196158,-16.388384146193054,2.1263199937367148,3.4676148935329696,1.3812499855744893
5,2,static,28,163,8.958980349675278e-09,9.713444349545096,0.0,0.0,-12.38175212569032,3.0029770950960466,-13.620122481708878,3.2200541392114657,1.2383703589439392,2.1619047190999803
