feature,coefficient,train_static_mean,train_adaptive_mean,pooled_std,adaptive_minus_static,standardized_delta,abs_coefficient
begin_token_count,1.859125058146393,0.0,2.0,1.0,2.0,2.0,1.859125058146393
starts_with_special,1.859125058146393,0.0,1.0,0.5,1.0,2.0,1.859125058146393
ends_mid_sentence,0.7409841613832386,0.09815950920245399,0.9325153374233128,0.4997647080838356,0.8343558282208589,1.6694972948768034,0.7409841613832386
punct_char_fraction,0.5370659014967767,0.0501331565672705,0.10386128009126616,0.04529310223443942,0.05372812352399566,1.1862319177409428,0.5370659014967767
line_count,-0.4335492214164791,17.21472392638037,2.233128834355828,14.807471312463408,-14.981595092024541,-1.011759183988057,0.4335492214164791
repeated_bigram_fraction,0.3893288651511458,0.08385095727434906,0.11594221111170021,0.09577908141050356,0.03209125383735115,0.3350549343839486,0.3893288651511458
token_len,-0.33976936366802424,156.33128834355827,26.33128834355828,110.9492812449437,-130.0,-1.1717065540334404,0.33976936366802424
char_len,-0.33230674965277673,1125.7791411042945,176.34969325153375,803.2206521845825,-949.4294478527607,-1.1820281827546673,0.33230674965277673
digit_char_fraction,-0.2952240840620631,0.009738305501776229,0.00725727686599399,0.01980390005296773,-0.002481028635782239,-0.125279799895296,0.2952240840620631
char_entropy,0.2535546818062576,4.483749917480227,4.559176398108866,0.15934289165642918,0.07542648062863844,0.47335955714466993,0.2535546818062576
repeated_trigram_fraction,-0.21860578504589256,0.02915003039796655,0.011192540383242758,0.0660321588589942,-0.01795749001472379,-0.2719506725968238,0.21860578504589256
harmful_action_count,-0.1743893884919873,1.803680981595092,0.22699386503067484,2.3201724820082252,-1.5766871165644172,-0.6795559936991045,0.1743893884919873
special_token_count,0.1396766004956546,0.4723926380368098,2.03680981595092,1.9136802450367443,1.5644171779141103,0.8174914184182699,0.1396766004956546
unique_token_ratio,0.10972975198875955,0.7303413241050088,0.8244150287970764,0.1230536280894366,0.09407370469206755,0.7644935476725144,0.10972975198875955
max_repeated_run,-0.08892539389136164,1.0858895705521472,1.01840490797546,0.23571778470476226,-0.06748466257668717,-0.2862943186964533,0.08892539389136164
instruction_overlap,-0.08303877661540224,0.3989039261846629,0.20327645802566482,0.20293981050661003,-0.1956274681589981,-0.9639679256161828,0.08303877661540224
code_symbol_count,-0.08275162301960812,1.5828220858895705,0.2147239263803681,5.945988880796841,-1.3680981595092023,-0.23008757448699757,0.08275162301960812
refusal_marker_count,-0.07988620402076167,0.10429447852760736,0.024539877300613498,0.2804862083581872,-0.07975460122699386,-0.2843441098007409,0.07988620402076167
avg_line_len,0.07956309390057514,120.15437972354079,111.17344434706398,104.06757450938417,-8.980935376476808,-0.086299074604328,0.07956309390057514
eot_token_count,0.056233628155031176,0.0,0.018404907975460124,0.12350197631409443,0.018404907975460124,0.14902521016062234,0.056233628155031176
max_token_frequency,-0.030133430151954566,0.07079267196266868,0.09422393569602065,0.03887251816783769,0.02343126373335197,0.6027719540109061,0.030133430151954566
alpha_char_fraction,-0.010429195246296593,0.7823427174344185,0.7640006756312356,0.05705716808553394,-0.018342041803182885,-0.32146779131565867,0.010429195246296593
numbered_list_markers,0.0,0.0,0.0,1.0,0.0,0.0,0.0
