feature_set,train_n,heldout_n,cv_accuracy,cv_auc,heldout_accuracy,heldout_auc,feature_count
all_features,326,46,0.9969325153374233,1.0,1.0,1.0,23
no_special_tokens,326,46,0.9723926380368099,0.9932628250969174,0.9130434782608695,0.9886578449905482,19
no_special_or_length_format,326,46,0.9631901840490797,0.989160299597275,0.8913043478260869,0.9376181474480151,13
semantic_overlap_only,326,46,0.7607361963190185,0.7981670367721782,0.5434782608695652,0.5860113421550095,3
