k,both_success,static_only,adaptive_only,neither,discordant_n,mcnemar_exact_p,adaptive_minus_static_asr
5,1,20,5,137,25,0.004077315330505371,-0.09202453987730061
10,5,15,8,135,23,0.21003961563110352,-0.042944785276073615
20,3,25,22,113,47,0.7708669945730264,-0.018404907975460127
40,6,18,36,103,54,0.019834326728068286,0.11042944785276074
