k,condition,success,n,asr,ci_low,ci_high
5,static,21,163,0.12883435582822086,0.0858313831091429,0.18892982752417642
5,adaptive,6,163,0.03680981595092025,0.016977284282556588,0.07797265625985011
10,static,20,163,0.12269938650306748,0.08084950251524008,0.18192429011201833
10,adaptive,13,163,0.07975460122699386,0.047198771362706025,0.13166309522212652
20,static,28,163,0.17177914110429449,0.12160470906368634,0.23706842761205885
20,adaptive,25,163,0.15337423312883436,0.10609636607433767,0.21661451658322498
40,static,24,163,0.147239263803681,0.10098301731863049,0.2097404473328713
40,adaptive,42,163,0.25766871165644173,0.19665017483988861,0.3298468139207083
